block,chroms,mean_length,std_length,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
262,1;2,6155.024691358025,6.494014924760471,0.07392138,1,7,False
345,1;2,5317.419753086419,5.834897562825188,0.07392138,1,7,False
354,1;2,5632.962962962963,5.649089174796331,0.07392138,1,7,False
238,1;2,6568.3,5.1000000000000005,0.07392138,1,7,False
5,1;2,6885.634146341464,4.264179202527386,0.07392138,1,7,False
259,1;2,10259.975308641975,4.133498529082273,0.07392138,1,7,False
4,1;2,8850.40243902439,4.1108415733769075,0.07392138,1,7,False
324,1;2,5095.148148148148,3.7122124483928376,0.07392138,1,7,False
333,1;2,20767.938271604937,3.570612836054364,0.07392138,1,7,False
268,1;2,17113.827160493827,3.0094096195420703,0.07392138,1,7,False
287,1;2,8169.83950617284,2.9458352695198493,0.07392138,1,7,False
361,1;2,7401.320987654321,2.5907106632328363,0.07392138,1,7,False
272,1;2,5177.814814814815,0.5902732389077492,0.07392138,1,7,False
317,2,51104.75,8.757139944068497,0.06128517199999999,1,7,False
318,2,6644.416666666667,0.9537935951882998,0.06128517199999999,1,7,False
229,1;2,5698.125,1.4523687548277813,0.055192439999999995,1,6,False
55,1,5313.571428571428,8.381222939355789,0.050887540999999994,1,6,False
288,1;2,16123.61971830986,385.54024163639184,0.0498853162,2,8,False
209,1;2,7202.92,252.11884816490814,0.04639455099999999,2,9,False
393,2,8791.57142857143,3.499271061118826,0.045122758799999996,1,5,False
212,1,15183.5,6.601767440112787,0.03808676999999999,2,7,False
223,1,11406.714285714286,7.439552323595163,0.036853736,1,5,False
14,1;2,8151.513888888889,156.23895454786515,0.036456804,1,5,False
226,1,6185.833333333333,4.524623986832743,0.034342094,1,5,False
387,2,11098.4,240.13213029496904,0.025561591,1,4,False
386,2,10319.8,206.10715659578636,0.025561591,1,4,False
224,1;2,6360.555555555556,0.4969039949999533,0.021829244999999997,1,4,False
176,1,5213.75,144.70897518813408,0.021546981,1,4,False
175,1,5629.0,78.79403530724899,0.021546981,1,4,False
177,1,8933.75,3.897114317029974,0.021546981,1,4,False
219,1,6251.75,1.0897247358851685,0.014270241999999999,1,3,False
215,1,9777.5,538.3792808048987,0.013280624,1,3,False
200,1,5380.0,7.874007874011811,0.0131562234,1,3,False
442,1,36468.666666666664,275.3305084600849,0.012372227999999999,1,3,False
436,1,10162.333333333334,3.299831645537222,0.012257175999999998,1,3,False
401,2,6701.4,23.820999139414788,0.0121184306,1,3,False
399,2,6294.0,10.198039027185569,0.0121184306,1,3,False
56,1,12569.666666666666,15.107025591499548,0.011527465999999998,1,3,False
214,1,14497.142857142857,664.9237181966125,0.011189687200000001,1,3,False
412,1,13399.333333333334,91.68908816696177,0.011073568399999999,1,3,False
413,1,17863.0,1.4142135623730951,0.011073568399999999,1,3,False
203,1,7203.5,536.6472304969066,0.007737644,1,3,False
230,1;2,6553.857142857143,2.7479120088101916,0.0058228883,1,4,False
400,2,5454.5,70.5,0.0048213032999999995,1,2,False
211,1,6297.666666666667,8.956685895029603,0.0045949041999999996,1,2,False
450,2,8453.0,0.0,0.0045873962,1,2,False
441,1,5959.0,6.0,0.004457984,1,2,False
453,1,5162.0,1.0,0.0043609373,1,2,False
199,1,15755.5,0.5,0.0043262627,1,2,False
439,1,13162.5,13.5,0.0043179027,1,2,False
438,1,7655.0,4.0,0.0043179027,1,2,False
440,1,8032.0,3.0,0.0043179027,1,2,False
448,1,5367.5,9.5,0.00423822,1,2,False
227,1,5148.0,28.284271247461902,0.004122368,1,2,False
54,1,5415.0,2.0,0.00394601,1,2,False
218,1,5178.333333333333,9.428090415820634,0.0038871200000000004,1,2,False
217,1,8017.333333333333,0.4714045207910317,0.0038871200000000004,1,2,False
433,1,7550.0,0.0,0.0037940733,1,2,False
451,1,5905.0,0.0,0.0037218079999999996,1,2,False
452,1,10199.0,620.0,0.00372052,1,2,False
421,1,10107.5,6.5,0.0036288590000000003,1,2,False
390,2,7773.0,2.0,0.003591238,1,2,False
449,1,6870.5,0.5,0.003591238,1,2,False
435,1;2,6223.5,0.8660254037844386,0.003374685,1,2,False
434,1;2,8231.75,0.4330127018922193,0.003374685,1,2,False
228,1,5988.5,0.5,0.0033657493000000004,1,2,False
377,1,5178.333333333333,0.9428090415820634,0.0033008078,1,3,False
443,1,16910.0,620.0,0.003215107,1,2,False
423,1,6898.666666666667,4.496912521077347,0.0032020910000000002,1,2,False
389,1,6169.0,0.0,0.0030398703,1,2,False
213,1,7744.2,604.8888823577435,0.002664951,1,2,False
388,1,5214.5,1.5,0.0024125839999999997,1,2,False
225,1,8518.0,691.0,0.0019523598,1,2,False
375,1,6700.0,0.0,0.0012777442,1,2,False
426,2,7632.5,14.5,0.0012689679999999999,1,2,False
419,1;2,6957.333333333333,0.9428090415820634,0.0011310659,1,2,False
420,1,16234.0,571.3422791987304,0.0008148542999999999,1,2,False
395,1;2,5201.0,1.4142135623730951,0.0006680542,1,2,False
447,1,10528.5,749.5,0,0,0,True
220,1,5698.0,681.0,0,0,0,True
204,1;2,6723.5,621.5,0,0,0,True
231,1,6894.25,578.0719570261128,0,0,0,True
80,1;2,15055.901234567902,535.5177857806076,0,0,0,True
397,1;2,27674.333333333332,529.5484449562246,0,0,0,True
28,1;2,37358.67901234568,505.27481404446286,0,0,0,True
170,1;2,40528.25925925926,499.1047485935063,0,0,0,True
2,1;2,13475.691358024691,493.65734209753,0,0,0,True
406,1;2,23285.8,489.7110985060478,0,0,0,True
408,1;2,22150.375,401.259248335786,0,0,0,True
113,1;2,19798.432098765432,367.2007537268551,0,0,0,True
112,1;2,59081.17283950617,365.7620757438243,0,0,0,True
185,1;2,15141.456790123457,355.49402416823597,0,0,0,True
13,1;2,26387.320987654322,349.1040322912176,0,0,0,True
117,1;2,15279.185185185184,315.73884000731243,0,0,0,True
116,1;2,44518.27160493827,308.9087528523305,0,0,0,True
135,1;2,50687.88888888889,296.15286343123296,0,0,0,True
35,1;2,61450.51851851852,294.3572663861866,0,0,0,True
92,1;2,41695.77777777778,291.32947704880615,0,0,0,True
150,1;2,7516.728395061728,247.88363520234225,0,0,0,True
95,1;2,39132.97530864197,245.51407268049624,0,0,0,True
194,1;2,31599.777777777777,227.03037268933159,0,0,0,True
141,1;2,7946.62962962963,209.6468190832255,0,0,0,True
46,1;2,7891.111111111111,207.2940894144665,0,0,0,True
143,1;2,14591.567901234568,207.15271031155336,0,0,0,True
103,1;2,13012.444444444445,205.29503009745767,0,0,0,True
7,1;2,12602.888888888889,205.10262411717966,0,0,0,True
142,1;2,15713.543209876543,204.33753541584116,0,0,0,True
125,1;2,7134.9876543209875,204.19583276646256,0,0,0,True
154,1;2,41314.32098765432,195.96509056465183,0,0,0,True
61,1;2,31021.35802469136,175.2906094012064,0,0,0,True
145,1;2,40280.49382716049,166.83362921916932,0,0,0,True
85,1;2,9887.62962962963,162.10806062505316,0,0,0,True
171,1;2,30304.962962962964,161.46860295230462,0,0,0,True
77,1;2,32719.654320987655,156.33457004121334,0,0,0,True
178,1;2,13454.37037037037,155.39360175941627,0,0,0,True
104,1;2,34032.666666666664,153.31996721131603,0,0,0,True
131,1;2,28618.086419753086,151.27753886877647,0,0,0,True
87,1;2,20688.061728395063,150.2601321066781,0,0,0,True
58,1;2,15579.024691358025,147.61310585434637,0,0,0,True
128,1;2,6275.308641975309,142.48133011552463,0,0,0,True
186,1;2,47166.40740740741,141.3327024599632,0,0,0,True
31,1;2,9635.839506172839,137.05666637302616,0,0,0,True
37,1;2,21743.79012345679,136.805233822465,0,0,0,True
81,1;2,25806.59259259259,135.5985157588184,0,0,0,True
133,1;2,10372.358024691359,134.09397005821958,0,0,0,True
50,1;2,7401.716049382716,133.89246049343188,0,0,0,True
19,1;2,17255.74074074074,133.81531198972743,0,0,0,True
162,1;2,8509.772151898735,132.76160697948183,0,0,0,True
208,1;2,8787.5,132.5,0,0,0,True
146,1;2,8020.876543209876,121.48945823455085,0,0,0,True
182,1;2,54934.864197530864,120.90479399928842,0,0,0,True
86,1;2,13235.185185185184,119.99270668279999,0,0,0,True
94,1;2,10059.382716049382,112.8978089106277,0,0,0,True
138,1;2,21926.382716049382,110.94560650381618,0,0,0,True
122,1;2,13851.691358024691,96.8996734537311,0,0,0,True
82,1;2,15327.111111111111,94.11786673903192,0,0,0,True
173,1;2,10337.271604938273,87.82966291377663,0,0,0,True
137,1;2,7808.172839506173,86.25497518282094,0,0,0,True
108,1;2,17500.975308641977,84.65995530539895,0,0,0,True
139,1;2,35691.58024691358,84.55458667827602,0,0,0,True
196,1;2,29688.9012345679,84.38135142086576,0,0,0,True
57,1;2,7785.172839506173,82.61883175809864,0,0,0,True
161,1;2,8156.987341772152,79.42682225126362,0,0,0,True
127,1;2,6184.641975308642,78.22179744865338,0,0,0,True
129,1;2,23583.444444444445,76.49917291572585,0,0,0,True
446,1,7134.5,75.5,0,0,0,True
164,1;2,24754.83950617284,74.35458204684547,0,0,0,True
172,1;2,39428.06172839506,70.8659568758246,0,0,0,True
165,1;2,22493.271604938273,70.69898149085266,0,0,0,True
98,1;2,38953.2962962963,69.8432892124288,0,0,0,True
99,1;2,16183.333333333334,68.36774201440434,0,0,0,True
93,1;2,9308.345679012345,66.82410308364793,0,0,0,True
97,1;2,25483.382716049382,65.42936402391278,0,0,0,True
102,1;2,18849.59259259259,63.29916773930239,0,0,0,True
90,1;2,8438.962962962964,62.617680705211875,0,0,0,True
184,1;2,36749.049382716046,62.513188975729406,0,0,0,True
187,1;2,14541.839506172839,62.287754536411356,0,0,0,True
42,1;2,49291.81481481482,61.13880405084953,0,0,0,True
18,1;2,32637.864197530864,58.104578576189134,0,0,0,True
105,1;2,29734.234567901236,53.593640585735955,0,0,0,True
197,1;2,10190.765432098766,52.747306198829186,0,0,0,True
39,1;2,20551.024691358023,52.312681773041,0,0,0,True
153,1;2,36467.01234567901,52.12650656902286,0,0,0,True
152,1;2,20937.604938271605,51.44448740395271,0,0,0,True
40,1;2,42776.18518518518,50.54080642267785,0,0,0,True
36,1;2,13857.827160493827,50.298562953101175,0,0,0,True
70,1;2,13722.358024691359,49.09761218250925,0,0,0,True
193,1;2,9743.197530864198,47.98210050854392,0,0,0,True
12,1;2,16967.506172839505,46.498937584249745,0,0,0,True
91,1;2,30228.0,45.615407836593604,0,0,0,True
126,1;2,48674.765432098764,44.381697819669995,0,0,0,True
120,1;2,8828.382716049382,43.74747058684116,0,0,0,True
190,1;2,11674.518518518518,43.2098271604656,0,0,0,True
169,1;2,21825.88888888889,42.29584224962234,0,0,0,True
74,1;2,10473.333333333334,42.23654727751697,0,0,0,True
65,1;2,5780.641975308642,42.03946078109021,0,0,0,True
130,1;2,9113.283950617284,41.51728319803344,0,0,0,True
83,1;2,13116.543209876543,40.31084447502043,0,0,0,True
11,1;2,29057.061728395063,39.31586105309133,0,0,0,True
69,1;2,17118.30864197531,38.55912310593925,0,0,0,True
198,1;2,7019.419753086419,38.468478100211364,0,0,0,True
181,1;2,25773.543209876545,38.01430834671872,0,0,0,True
110,1;2,18497.925925925927,36.360261097874755,0,0,0,True
1,1;2,5708.469135802469,36.049036020656565,0,0,0,True
68,1;2,29787.283950617282,34.889325746699235,0,0,0,True
66,1;2,15452.728395061727,34.857385757807734,0,0,0,True
100,1;2,7855.308641975309,34.6497971687394,0,0,0,True
51,1;2,33521.81481481482,33.86761121135114,0,0,0,True
76,1;2,21011.48148148148,33.70390720329285,0,0,0,True
47,1;2,5600.444444444444,32.9346528450611,0,0,0,True
183,1;2,9081.802469135802,30.220759667669217,0,0,0,True
84,1;2,18487.703703703704,30.060204793189698,0,0,0,True
188,1;2,15802.234567901234,29.452733258871394,0,0,0,True
106,1;2,22713.925925925927,29.390423307046,0,0,0,True
151,1;2,8523.641975308641,28.951346433209054,0,0,0,True
60,1;2,15659.345679012345,28.62708744615933,0,0,0,True
75,1;2,20475.493827160495,28.284761615997933,0,0,0,True
148,1;2,16427.83950617284,26.515989487883846,0,0,0,True
140,1;2,6045.580246913581,26.116010981171364,0,0,0,True
174,1;2,17664.938271604937,25.987340545303763,0,0,0,True
59,1;2,12429.074074074075,25.931427987598262,0,0,0,True
156,1;2,37894.69135802469,25.57856064798087,0,0,0,True
134,1;2,5224.55,25.5352207744519,0,0,0,True
149,1;2,16598.395061728395,25.311725196114093,0,0,0,True
89,1;2,6665.419753086419,24.187469563591208,0,0,0,True
3,1;2,11174.246913580248,23.507041689513624,0,0,0,True
71,1;2,12151.222222222223,23.17619042183456,0,0,0,True
123,1;2,5597.358024691358,22.973043055051868,0,0,0,True
118,1;2,7954.086419753086,22.83337254977124,0,0,0,True
155,1;2,5269.061728395061,22.26515057990814,0,0,0,True
29,1;2,11080.851851851852,21.7085697995857,0,0,0,True
38,1;2,22920.30864197531,21.496851320002367,0,0,0,True
124,1;2,51413.0987654321,21.265287856308095,0,0,0,True
26,1;2,9502.283950617284,21.035088010334057,0,0,0,True
180,1;2,5709.888888888889,20.456518173982325,0,0,0,True
409,1;2,20932.25,20.35773808653604,0,0,0,True
101,1;2,17747.925925925927,18.700219697513017,0,0,0,True
6,1;2,14934.691358024691,18.523686521675423,0,0,0,True
163,1;2,10585.95061728395,18.264788518320177,0,0,0,True
96,1;2,11287.987654320988,17.42390427478303,0,0,0,True
27,1;2,11314.358024691359,17.092564726736065,0,0,0,True
107,1;2,6980.16049382716,16.818902351204272,0,0,0,True
195,1;2,15048.864197530864,16.787527032359954,0,0,0,True
73,1;2,6914.074074074074,16.0783404476354,0,0,0,True
109,1;2,30679.20987654321,16.06139151865811,0,0,0,True
64,1;2,14517.876543209877,15.231045874166764,0,0,0,True
33,1;2,6102.049382716049,15.171367797714497,0,0,0,True
147,1;2,14101.111111111111,15.133153857640263,0,0,0,True
79,1;2,5758.0123456790125,14.778608019418376,0,0,0,True
373,1;2,8096.272727272727,14.579505597621422,0,0,0,True
114,1;2,9489.938271604939,14.414794936523837,0,0,0,True
49,1;2,9145.012345679012,14.099727540630429,0,0,0,True
10,1;2,11724.802469135802,14.021517637771288,0,0,0,True
25,1;2,20115.20987654321,13.806167926845761,0,0,0,True
192,1;2,14717.814814814816,13.475273295848407,0,0,0,True
8,1;2,7132.567901234568,13.289686218745521,0,0,0,True
78,1;2,5938.061728395061,12.961810648372218,0,0,0,True
132,1;2,14107.41975308642,12.298613991498115,0,0,0,True
425,1;2,22708.333333333332,12.256517540566822,0,0,0,True
88,1;2,10003.67901234568,10.736837661767836,0,0,0,True
168,1;2,5421.407407407408,10.526600963576271,0,0,0,True
62,1;2,9588.197530864198,10.37496958565992,0,0,0,True
191,1;2,6398.864197530864,10.206210995005042,0,0,0,True
22,1;2,49823.345679012345,10.156990530551246,0,0,0,True
136,1;2,9638.617283950618,9.51615637372824,0,0,0,True
121,1;2,6953.555555555556,9.064923579720507,0,0,0,True
167,1;2,7295.666666666667,8.90969786521309,0,0,0,True
72,1;2,11835.839506172839,8.788961637742823,0,0,0,True
374,1;2,6577.090909090909,8.522212105642154,0,0,0,True
43,1;2,9294.95061728395,8.392973596515125,0,0,0,True
207,1;2,6404.0,8.0,0,0,0,True
179,1;2,5082.814814814815,7.905477255973786,0,0,0,True
34,1;2,10385.086419753086,7.6854801867125095,0,0,0,True
23,1;2,12920.172839506173,7.081169819406873,0,0,0,True
189,1;2,9768.271604938273,6.903232997605895,0,0,0,True
158,1;2,5308.2375,6.152730592996902,0,0,0,True
53,1;2,12237.888888888889,6.093915200356483,0,0,0,True
67,1;2,8806.111111111111,6.014386045655271,0,0,0,True
115,1;2,5085.55,5.783381363873561,0,0,0,True
30,1;2,6239.728395061728,5.737062408453836,0,0,0,True
9,1;2,5351.555555555556,5.613035973473372,0,0,0,True
222,1;2,6400.333333333333,5.557777333511022,0,0,0,True
216,1,6601.5,5.5,0,0,0,True
48,1;2,5195.123456790124,5.496087757959714,0,0,0,True
52,1;2,8648.123456790123,5.405490386838828,0,0,0,True
24,1;2,5923.246913580247,4.9778047226392035,0,0,0,True
144,1;2,5107.0123456790125,4.749252903327563,0,0,0,True
20,1;2,6063.753086419753,4.612197634232838,0,0,0,True
159,1;2,16991.481012658227,4.380222407779303,0,0,0,True
166,1;2,5505.62962962963,4.22644363368917,0,0,0,True
63,1;2,5782.641975308642,4.068271213434154,0,0,0,True
44,1;2,17359.814814814814,3.482269414383158,0,0,0,True
405,1;2,6206.666666666667,3.2998316455372216,0,0,0,True
32,1;2,6534.518518518518,3.2701837117991284,0,0,0,True
41,1;2,5865.617283950617,3.20712132464255,0,0,0,True
402,2,7700.6,2.8000000000000003,0,0,0,True
21,1;2,7558.83950617284,2.710094482082451,0,0,0,True
119,1;2,6741.1875,2.669708551508947,0,0,0,True
205,1;2,21430.5,1.5,0,0,0,True
418,1;2,40895.0,1.0,0,0,0,True
391,1;2,6943.5,0.8660254037844386,0,0,0,True
376,1;2,5476.0,0.816496580927726,0,0,0,True
45,1;2,12438.234567901234,0.5504567113483445,0,0,0,True
404,2,16509.5,0.5,0,0,0,True
411,2,5232.5,0.5,0,0,0,True
414,1;2,16180.5,0.5,0,0,0,True
431,1,36485.5,0.5,0,0,0,True
445,1,7040.5,0.5,0,0,0,True
221,1;2,9403.333333333334,0.4714045207910317,0,0,0,True
407,1;2,6518.9375,0.24206145913796356,0,0,0,True
206,1;2,5405.0,0.0,0,0,0,True
210,1,8169.0,0.0,0,0,0,True
384,1;2,16699.0,0.0,0,0,0,True
392,2,9804.0,0.0,0,0,0,True
394,1;2,8004.0,0.0,0,0,0,True
396,1;2,5669.0,0.0,0,0,0,True
398,1,22332.0,0.0,0,0,0,True
403,2,5114.0,0.0,0,0,0,True
410,2,8317.0,0.0,0,0,0,True
415,1;2,7934.0,0.0,0,0,0,True
416,1;2,6775.0,0.0,0,0,0,True
417,1;2,10765.0,0.0,0,0,0,True
422,1,8144.0,0.0,0,0,0,True
424,2,25103.0,0.0,0,0,0,True
427,1;2,9625.0,0.0,0,0,0,True
428,1,9123.0,0.0,0,0,0,True
429,1,9000.0,0.0,0,0,0,True
430,1;2,12468.0,0.0,0,0,0,True
