81	3847660	BUMA.1121.00072.1
82	3184745	BUMA.1121.00088.2
83	3217986	BUMA.1121.00053.2
84	3078972	BUMA.1121.00025.2
85	4009467	BUMA.1121.00077.1
86	3099451	BUMA.1121.00070.2
87	3158067	BUMA.1121.00049.2
88	3303758	BUMA.1121.00078.2
89	4074542	BUMA.1121.00082.1
90	3069580	BUMA.1121.00069.2
91	3190145	BUMA.1121.00102.2
92	3976787	BUMA.1121.00062.1
93	3267140	BUMA.1121.00112.2
94	4054259	BUMA.1121.00007.1
95	3248515	BUMA.1121.00041.2
96	3147768	BUMA.1121.00068.2
97	3208521	BUMA.1121.00076.2
98	3245063	BUMA.1121.00033.2
99	4191510	BUMA.1121.00025.1
100	4047168	BUMA.1121.00021.1
101	3248889	BUMA.1121.00101.2
102	4059482	BUMA.1121.00103.1
103	3200711	BUMA.1121.00105.2
104	3102685	BUMA.1121.00061.2
105	4029451	BUMA.1121.00096.1
106	3113523	BUMA.1121.00063.2
107	3176439	BUMA.1121.00059.2
108	3214293	BUMA.1121.00058.2
109	3269661	BUMA.1121.00043.2
110	3157159	BUMA.1121.00055.2
111	3228004	BUMA.1121.00065.2
112	3039355	BUMA.1121.00064.2
113	3130285	BUMA.1121.00047.2
114	3207929	BUMA.1121.00037.2
115	4066496	BUMA.1121.00079.1
116	3194042	BUMA.1121.00106.2
117	3115305	BUMA.1121.00051.2
118	3258775	BUMA.1121.00045.2
119	4046782	BUMA.1121.00039.1
120	3102126	BUMA.1121.00056.2
121	4074547	BUMA.1121.00083.1
122	4126285	BUMA.1121.00084.1
123	4033039	BUMA.1121.00049.1
124	3340068	BUMA.1121.00095.2
125	3988455	BUMA.1121.00089.1
126	4224888	BUMA.1121.00014.1
127	4121652	BUMA.1121.00090.1
128	3855598	BUMA.1121.00071.1
129	4166370	BUMA.1121.00078.1
130	4185325	BUMA.1121.00102.1
131	3932397	BUMA.1121.00075.1
132	4195050	BUMA.1121.00012.1
133	3933317	BUMA.1121.00076.1
134	3983995	BUMA.1121.00106.1
135	4090926	BUMA.1121.00001.1
136	3173002	BUMA.1121.00082.2
137	4110442	BUMA.1121.00107.1
138	3925543	BUMA.1121.00104.1
139	4088909	BUMA.1121.00099.1
140	3190235	BUMA.1121.00001.2
141	4240579	BUMA.1121.00098.1
142	3194326	BUMA.1121.00108.2
143	4032598	BUMA.1121.00111.1
144	3969298	BUMA.1121.00109.1
145	3173020	BUMA.1121.00083.2
146	4067985	BUMA.1121.00097.1
147	3173851	BUMA.1121.00080.2
148	4001777	BUMA.1121.00094.1
149	3286818	BUMA.1121.00012.2
150	3997043	BUMA.1121.00095.1
151	4059272	BUMA.1121.00005.1
152	3955130	BUMA.1121.00101.1
153	4038504	BUMA.1121.00065.1
154	4021765	BUMA.1121.00100.1
155	4017692	BUMA.1121.00105.1
156	4062495	BUMA.1121.00029.1
157	3854943	BUMA.1121.00066.1
158	4077668	BUMA.1121.00031.1
159	4031085	BUMA.1121.00108.1
160	4099175	BUMA.1121.00023.1
161	4121829	BUMA.1121.00035.1
162	4135206	BUMA.1121.00041.1
--------------------------------------------------------------------------------
Block #668
Seq_id	Strand	Start	End	Length
156	+	3861358	3864456	3098
161	-	2181119	2178019	3100
--------------------------------------------------------------------------------
Block #667
Seq_id	Strand	Start	End	Length
156	+	3856094	3859447	3353
161	-	2187737	2184380	3357
--------------------------------------------------------------------------------
Block #666
Seq_id	Strand	Start	End	Length
156	+	880805	884466	3661
161	-	1092310	1088649	3661
--------------------------------------------------------------------------------
Block #665
Seq_id	Strand	Start	End	Length
148	+	1141331	1146443	5112
153	+	1222671	1227785	5114
--------------------------------------------------------------------------------
Block #664
Seq_id	Strand	Start	End	Length
146	+	3965625	3975141	9516
152	+	2396376	2407132	10756
--------------------------------------------------------------------------------
Block #663
Seq_id	Strand	Start	End	Length
146	+	3698018	3701307	3289
152	+	2144956	2148245	3289
--------------------------------------------------------------------------------
Block #662
Seq_id	Strand	Start	End	Length
144	+	774567	782285	7718
154	+	198604	206322	7718
--------------------------------------------------------------------------------
Block #661
Seq_id	Strand	Start	End	Length
143	+	3231972	3236652	4680
150	-	2657586	2652909	4677
--------------------------------------------------------------------------------
Block #660
Seq_id	Strand	Start	End	Length
142	+	2603999	2612452	8453
149	-	2581090	2572637	8453
--------------------------------------------------------------------------------
Block #659
Seq_id	Strand	Start	End	Length
139	+	844710	880986	36276
141	+	2293538	2329807	36269
151	-	218161	181303	36858
--------------------------------------------------------------------------------
Block #658
Seq_id	Strand	Start	End	Length
137	+	628484	635355	6871
152	-	1701982	1695112	6870
--------------------------------------------------------------------------------
Block #657
Seq_id	Strand	Start	End	Length
135	+	3119376	3122591	3215
156	+	3972875	3976090	3215
--------------------------------------------------------------------------------
Block #656
Seq_id	Strand	Start	End	Length
135	+	3007349	3010818	3469
156	+	3852624	3856093	3469
161	-	2191207	2187739	3468
--------------------------------------------------------------------------------
Block #655
Seq_id	Strand	Start	End	Length
135	+	3000665	3006137	5472
156	+	3845939	3851412	5473
161	-	2197893	2192419	5474
--------------------------------------------------------------------------------
Block #654
Seq_id	Strand	Start	End	Length
135	+	1057232	1060781	3549
156	+	1924611	1928160	3549
--------------------------------------------------------------------------------
Block #653
Seq_id	Strand	Start	End	Length
135	+	8151	11483	3332
156	+	884468	887800	3332
161	-	1088648	1085316	3332
--------------------------------------------------------------------------------
Block #652
Seq_id	Strand	Start	End	Length
132	+	2798651	2805351	6700
161	+	1108830	1115530	6700
--------------------------------------------------------------------------------
Block #651
Seq_id	Strand	Start	End	Length
130	+	1665033	1670563	5530
141	-	2293463	2287913	5550
--------------------------------------------------------------------------------
Block #650
Seq_id	Strand	Start	End	Length
127	+	3277460	3282769	5309
132	+	3932951	3938258	5307
161	+	2266395	2271704	5309
--------------------------------------------------------------------------------
Block #649
Seq_id	Strand	Start	End	Length
127	+	3274334	3277458	3124
132	+	3927213	3930332	3119
161	+	2263278	2266393	3115
--------------------------------------------------------------------------------
Block #648
Seq_id	Strand	Start	End	Length
126	+	2480976	2485410	4434
160	-	2746808	2742375	4433
--------------------------------------------------------------------------------
Block #647
Seq_id	Strand	Start	End	Length
126	+	2298792	2308538	9746
158	-	1920198	1908967	11231
--------------------------------------------------------------------------------
Block #646
Seq_id	Strand	Start	End	Length
126	+	2291142	2297569	6427
158	-	1927697	1921421	6276
--------------------------------------------------------------------------------
Block #645
Seq_id	Strand	Start	End	Length
126	+	2278976	2285756	6780
158	-	1939864	1933083	6781
--------------------------------------------------------------------------------
Block #644
Seq_id	Strand	Start	End	Length
126	+	2268808	2277630	8822
158	-	1951302	1942480	8822
--------------------------------------------------------------------------------
Block #643
Seq_id	Strand	Start	End	Length
122	+	2295340	2298415	3075
131	+	1426783	1429858	3075
133	-	3386141	3383066	3075
155	-	3294788	3291713	3075
--------------------------------------------------------------------------------
Block #642
Seq_id	Strand	Start	End	Length
119	+	2555417	2560063	4646
137	-	859810	856475	3335
161	+	3573941	3577233	3292
--------------------------------------------------------------------------------
Block #641
Seq_id	Strand	Start	End	Length
115	+	3597289	3614748	17459
134	+	3297227	3313446	16219
--------------------------------------------------------------------------------
Block #640
Seq_id	Strand	Start	End	Length
105	+	3195877	3199226	3349
139	+	2379665	2383014	3349
141	-	2761822	2758473	3349
--------------------------------------------------------------------------------
Block #639
Seq_id	Strand	Start	End	Length
105	+	2171855	2176753	4898
144	+	787875	792773	4898
154	-	226375	221476	4899
--------------------------------------------------------------------------------
Block #638
Seq_id	Strand	Start	End	Length
100	+	3714696	3718924	4228
143	+	3241412	3245640	4228
160	+	1388372	1392600	4228
--------------------------------------------------------------------------------
Block #637
Seq_id	Strand	Start	End	Length
94	+	3143375	3147821	4446
159	-	1979241	1974795	4446
--------------------------------------------------------------------------------
Block #636
Seq_id	Strand	Start	End	Length
94	+	573661	577820	4159
102	+	881629	885785	4156
--------------------------------------------------------------------------------
Block #635
Seq_id	Strand	Start	End	Length
94	+	564232	568331	4099
158	-	822149	818051	4098
--------------------------------------------------------------------------------
Block #634
Seq_id	Strand	Start	End	Length
92	+	773669	780938	7269
148	-	3819876	3812607	7269
--------------------------------------------------------------------------------
Block #633
Seq_id	Strand	Start	End	Length
89	+	3102489	3107156	4667
121	-	2676871	2672203	4668
--------------------------------------------------------------------------------
Block #632
Seq_id	Strand	Start	End	Length
89	+	858906	872582	13676
121	-	845913	832238	13675
--------------------------------------------------------------------------------
Block #631
Seq_id	Strand	Start	End	Length
89	+	602368	638853	36485
121	-	1102460	1065974	36486
--------------------------------------------------------------------------------
Block #630
Seq_id	Strand	Start	End	Length
87	+	2329106	2334065	4959
96	+	2229647	2234607	4960
--------------------------------------------------------------------------------
Block #629
Seq_id	Strand	Start	End	Length
77	+	141073	153541	12468
87	+	1846042	1858510	12468
--------------------------------------------------------------------------------
Block #628
Seq_id	Strand	Start	End	Length
77	+	134284	137669	3385
87	+	1836908	1840292	3384
--------------------------------------------------------------------------------
Block #627
Seq_id	Strand	Start	End	Length
72	+	1327295	1336295	9000
85	-	2156021	2147021	9000
--------------------------------------------------------------------------------
Block #626
Seq_id	Strand	Start	End	Length
72	+	933329	942400	9071
85	-	2549985	2540914	9071
--------------------------------------------------------------------------------
Block #625
Seq_id	Strand	Start	End	Length
71	+	553189	562814	9625
89	+	886364	895989	9625
121	-	818456	808831	9625
--------------------------------------------------------------------------------
Block #624
Seq_id	Strand	Start	End	Length
70	+	725236	732854	7618
114	+	634656	642302	7646
--------------------------------------------------------------------------------
Block #623
Seq_id	Strand	Start	End	Length
67	+	1401467	1409651	8184
150	+	2599889	2608073	8184
151	-	1827503	1819319	8184
162	-	346668	338484	8184
--------------------------------------------------------------------------------
Block #622
Seq_id	Strand	Start	End	Length
67	+	1395920	1401465	5545
150	+	2592892	2598437	5545
151	-	1833049	1827504	5545
162	-	352214	346669	5545
--------------------------------------------------------------------------------
Block #621
Seq_id	Strand	Start	End	Length
67	+	1387167	1391620	4453
150	+	2584150	2588593	4443
151	-	1841801	1837348	4453
162	-	360966	356513	4453
--------------------------------------------------------------------------------
Block #620
Seq_id	Strand	Start	End	Length
67	+	874026	878191	4165
102	+	728960	733124	4164
--------------------------------------------------------------------------------
Block #619
Seq_id	Strand	Start	End	Length
67	+	863885	874025	10140
102	+	718819	728959	10140
137	-	3599507	3589359	10148
--------------------------------------------------------------------------------
Block #618
Seq_id	Strand	Start	End	Length
64	+	2514168	2520121	5953
155	+	643974	649939	5965
--------------------------------------------------------------------------------
Block #617
Seq_id	Strand	Start	End	Length
64	+	348516	353039	4523
126	+	166909	171400	4491
--------------------------------------------------------------------------------
Block #616
Seq_id	Strand	Start	End	Length
64	+	336975	345004	8029
126	+	153571	161606	8035
--------------------------------------------------------------------------------
Block #615
Seq_id	Strand	Start	End	Length
64	+	331135	334598	3463
126	+	144809	148278	3469
--------------------------------------------------------------------------------
Block #614
Seq_id	Strand	Start	End	Length
64	+	312931	326107	13176
126	+	125956	139105	13149
--------------------------------------------------------------------------------
Block #613
Seq_id	Strand	Start	End	Length
64	+	298154	306626	8472
126	+	111452	119925	8473
--------------------------------------------------------------------------------
Block #612
Seq_id	Strand	Start	End	Length
63	+	3828169	3841213	13044
125	-	97262	84218	13044
--------------------------------------------------------------------------------
Block #611
Seq_id	Strand	Start	End	Length
63	+	323125	326161	3036
68	+	3365658	3368694	3036
69	-	540749	537713	3036
115	-	3715150	3712115	3035
125	-	3603806	3600771	3035
137	-	3573719	3570679	3040
148	-	3631992	3628957	3035
--------------------------------------------------------------------------------
Block #610
Seq_id	Strand	Start	End	Length
63	+	313329	317026	3697
68	+	3355862	3359559	3697
115	-	3724947	3721249	3698
125	-	3613603	3609905	3698
137	-	3582163	3578457	3706
148	-	3641789	3638091	3698
--------------------------------------------------------------------------------
Block #609
Seq_id	Strand	Start	End	Length
62	+	3343121	3347192	4071
124	-	3206717	3202646	4071
--------------------------------------------------------------------------------
Block #608
Seq_id	Strand	Start	End	Length
62	+	983731	1006379	22648
71	+	2465247	2487895	22648
154	-	3294860	3272237	22623
--------------------------------------------------------------------------------
Block #607
Seq_id	Strand	Start	End	Length
62	+	969834	974373	4539
71	+	2451348	2455895	4547
--------------------------------------------------------------------------------
Block #606
Seq_id	Strand	Start	End	Length
62	+	634793	659864	25071
124	+	880233	905304	25071
--------------------------------------------------------------------------------
Block #605
Seq_id	Strand	Start	End	Length
59	+	2895223	2899090	3867
66	+	562895	566762	3867
114	+	835386	839263	3877
--------------------------------------------------------------------------------
Block #604
Seq_id	Strand	Start	End	Length
59	+	2882248	2887032	4784
66	+	549919	554703	4784
78	-	487098	482291	4807
--------------------------------------------------------------------------------
Block #603
Seq_id	Strand	Start	End	Length
59	+	2866524	2872149	5625
66	+	534300	539818	5518
114	+	807639	813166	5527
--------------------------------------------------------------------------------
Block #602
Seq_id	Strand	Start	End	Length
56	+	3995511	4004127	8616
129	+	1889620	1898501	8881
--------------------------------------------------------------------------------
Block #601
Seq_id	Strand	Start	End	Length
56	+	3186059	3190402	4343
156	-	1870648	1866305	4343
--------------------------------------------------------------------------------
Block #600
Seq_id	Strand	Start	End	Length
56	+	2797805	2802008	4203
109	-	909177	904961	4216
149	-	275971	271755	4216
--------------------------------------------------------------------------------
Block #599
Seq_id	Strand	Start	End	Length
55	+	3580269	3584860	4591
67	-	185958	181366	4592
72	-	459021	454429	4592
85	+	3024394	3028984	4590
119	+	442291	446858	4567
137	+	173769	178360	4591
146	-	3698017	3693413	4604
152	-	2144955	2140351	4604
154	-	977241	972649	4592
--------------------------------------------------------------------------------
Block #598
Seq_id	Strand	Start	End	Length
55	+	3568917	3575325	6408
72	-	471261	464863	6398
85	+	3012156	3018551	6395
--------------------------------------------------------------------------------
Block #597
Seq_id	Strand	Start	End	Length
55	+	3313987	3322894	8907
72	-	731354	722446	8908
85	+	2752039	2760946	8907
--------------------------------------------------------------------------------
Block #596
Seq_id	Strand	Start	End	Length
53	+	3540437	3545525	5088
162	+	1032905	1037993	5088
--------------------------------------------------------------------------------
Block #595
Seq_id	Strand	Start	End	Length
53	+	3531389	3536246	4857
162	+	1023857	1028714	4857
--------------------------------------------------------------------------------
Block #594
Seq_id	Strand	Start	End	Length
53	+	2344074	2350972	6898
130	-	2710015	2703117	6898
143	-	1671449	1664536	6913
--------------------------------------------------------------------------------
Block #593
Seq_id	Strand	Start	End	Length
53	+	2314402	2322483	8081
130	-	2739687	2731606	8081
--------------------------------------------------------------------------------
Block #592
Seq_id	Strand	Start	End	Length
53	+	848562	851647	3085
67	-	3430073	3426988	3085
72	-	3676359	3673274	3085
85	+	3815940	3819026	3086
102	-	3304697	3301614	3083
130	-	106643	103559	3084
150	-	561507	558422	3085
151	-	2472324	2467953	4371
--------------------------------------------------------------------------------
Block #591
Seq_id	Strand	Start	End	Length
50	+	2626265	2632962	6697
98	-	2272235	2265546	6689
109	+	790941	797630	6689
149	+	157712	164401	6689
--------------------------------------------------------------------------------
Block #590
Seq_id	Strand	Start	End	Length
49	+	3183181	3193244	10063
153	+	1042926	1052991	10065
--------------------------------------------------------------------------------
Block #589
Seq_id	Strand	Start	End	Length
49	+	1966511	1971132	4621
89	+	3882621	3887222	4601
121	-	1896749	1892149	4600
--------------------------------------------------------------------------------
Block #588
Seq_id	Strand	Start	End	Length
48	+	3024760	3028181	3421
68	-	4004066	4000649	3417
115	+	3059086	3062507	3421
--------------------------------------------------------------------------------
Block #587
Seq_id	Strand	Start	End	Length
48	+	3011499	3020799	9300
68	-	4016119	4006820	9299
115	+	3045825	3055125	9300
--------------------------------------------------------------------------------
Block #586
Seq_id	Strand	Start	End	Length
47	+	3628461	3635417	6956
99	-	3781367	3774409	6958
100	+	3643993	3650951	6958
--------------------------------------------------------------------------------
Block #585
Seq_id	Strand	Start	End	Length
47	+	2271943	2312879	40936
99	-	987816	946878	40938
--------------------------------------------------------------------------------
Block #584
Seq_id	Strand	Start	End	Length
47	+	1533481	1537211	3730
53	+	709577	713317	3740
72	-	3815350	3811605	3745
85	+	3676922	3680664	3742
99	-	1726387	1722656	3731
130	-	247376	243645	3731
141	+	3705137	3708868	3731
--------------------------------------------------------------------------------
Block #583
Seq_id	Strand	Start	End	Length
47	+	1335767	1339834	4067
99	-	1924105	1920038	4067
139	-	1590437	1586371	4066
--------------------------------------------------------------------------------
Block #582
Seq_id	Strand	Start	End	Length
47	+	1313462	1332638	19176
99	-	1946410	1927233	19177
--------------------------------------------------------------------------------
Block #581
Seq_id	Strand	Start	End	Length
47	+	1295700	1298995	3295
99	-	1964171	1960876	3295
--------------------------------------------------------------------------------
Block #580
Seq_id	Strand	Start	End	Length
47	+	1284830	1291605	6775
99	-	1975041	1968266	6775
--------------------------------------------------------------------------------
Block #579
Seq_id	Strand	Start	End	Length
47	+	1280407	1283976	3569
99	-	1979464	1975896	3568
--------------------------------------------------------------------------------
Block #578
Seq_id	Strand	Start	End	Length
47	+	1273499	1279748	6249
99	-	1986372	1980123	6249
--------------------------------------------------------------------------------
Block #577
Seq_id	Strand	Start	End	Length
47	+	289354	294417	5063
99	-	2970526	2965463	5063
--------------------------------------------------------------------------------
Block #576
Seq_id	Strand	Start	End	Length
47	+	262834	281777	18943
99	-	2997047	2978103	18944
--------------------------------------------------------------------------------
Block #575
Seq_id	Strand	Start	End	Length
47	+	257791	261671	3880
99	-	3002091	2998210	3881
--------------------------------------------------------------------------------
Block #574
Seq_id	Strand	Start	End	Length
47	+	247890	251774	3884
99	-	3011991	3008108	3883
--------------------------------------------------------------------------------
Block #573
Seq_id	Strand	Start	End	Length
41	+	4103546	4121408	17862
129	-	147133	129268	17865
132	+	521764	539626	17862
--------------------------------------------------------------------------------
Block #572
Seq_id	Strand	Start	End	Length
41	+	4090210	4103544	13334
129	-	162285	148756	13529
132	+	508427	521762	13335
--------------------------------------------------------------------------------
Block #571
Seq_id	Strand	Start	End	Length
40	+	2205902	2210781	4879
75	-	1410177	1405299	4878
--------------------------------------------------------------------------------
Block #570
Seq_id	Strand	Start	End	Length
40	+	2188750	2198791	10041
75	-	1427329	1417288	10041
--------------------------------------------------------------------------------
Block #569
Seq_id	Strand	Start	End	Length
40	+	2180333	2185293	4960
75	-	1435748	1430788	4960
--------------------------------------------------------------------------------
Block #568
Seq_id	Strand	Start	End	Length
40	+	401584	406587	5003
46	-	1563752	1559217	4535
51	+	1584645	1589178	4533
75	-	3215011	3210009	5002
95	+	1424756	1429317	4561
136	+	532972	537508	4536
145	+	2329929	2334465	4536
--------------------------------------------------------------------------------
Block #567
Seq_id	Strand	Start	End	Length
40	+	396441	401120	4679
46	-	1568895	1564216	4679
51	+	1579505	1584181	4676
75	-	3220154	3215475	4679
136	+	527829	532508	4679
145	+	2324786	2329465	4679
--------------------------------------------------------------------------------
Block #566
Seq_id	Strand	Start	End	Length
38	+	3183480	3187271	3791
52	+	191818	195605	3787
65	-	201380	197592	3788
82	-	1497855	1494067	3788
103	+	932023	935810	3787
107	+	2104099	2107886	3787
108	-	2104458	2100670	3788
116	+	261633	265420	3787
--------------------------------------------------------------------------------
Block #565
Seq_id	Strand	Start	End	Length
38	+	3152841	3173721	20880
52	+	161114	182059	20945
65	-	233027	212088	20939
82	-	1529502	1508563	20939
103	+	901320	922264	20944
107	+	2073400	2094340	20940
108	-	2135144	2114216	20928
116	-	226492	205550	20942
--------------------------------------------------------------------------------
Block #564
Seq_id	Strand	Start	End	Length
38	+	3148374	3151914	3540
52	+	156112	159653	3541
65	-	238743	235203	3540
82	-	1535218	1531678	3540
103	+	895598	899144	3546
107	+	2069261	2072802	3541
108	-	2140130	2136589	3541
116	-	233420	229879	3541
--------------------------------------------------------------------------------
Block #563
Seq_id	Strand	Start	End	Length
38	+	3129915	3148373	18458
52	+	137653	156111	18458
65	-	257202	238745	18457
82	-	1553677	1535220	18457
103	+	875932	894390	18458
107	+	2050802	2069260	18458
108	-	2158588	2140132	18456
116	-	251874	233422	18452
--------------------------------------------------------------------------------
Block #562
Seq_id	Strand	Start	End	Length
38	+	3123395	3129914	6519
38	-	3180242	3173723	6519
52	+	131134	137652	6518
52	-	188580	182061	6519
65	+	205568	212087	6519
65	-	263723	257204	6519
82	+	1502043	1508562	6519
82	-	1560198	1553679	6519
103	+	869412	875931	6519
103	-	928785	922266	6519
107	+	2044282	2050801	6519
107	-	2100861	2094342	6519
108	+	2107696	2114215	6519
108	-	2165109	2158590	6519
116	+	199030	205549	6519
116	-	258395	251876	6519
--------------------------------------------------------------------------------
Block #561
Seq_id	Strand	Start	End	Length
38	+	2396823	2421085	24262
68	+	567597	590643	23046
76	-	482981	459936	23045
111	-	2309616	2286570	23046
124	-	1099784	1076766	23018
--------------------------------------------------------------------------------
Block #560
Seq_id	Strand	Start	End	Length
38	+	2387287	2391339	4052
76	-	492287	488186	4101
111	-	2318185	2314132	4053
124	-	1109381	1105571	3810
--------------------------------------------------------------------------------
Block #559
Seq_id	Strand	Start	End	Length
38	+	1436420	1443820	7400
77	-	134283	126889	7394
87	-	1836907	1829513	7394
--------------------------------------------------------------------------------
Block #558
Seq_id	Strand	Start	End	Length
33	+	2418376	2422341	3965
58	-	526521	522556	3965
--------------------------------------------------------------------------------
Block #557
Seq_id	Strand	Start	End	Length
33	+	2409772	2417253	7481
58	-	535125	527644	7481
--------------------------------------------------------------------------------
Block #556
Seq_id	Strand	Start	End	Length
33	+	2403725	2408799	5074
58	-	541173	536098	5075
--------------------------------------------------------------------------------
Block #555
Seq_id	Strand	Start	End	Length
32	+	562179	569939	7760
42	+	520145	527905	7760
113	+	1450323	1458076	7753
117	+	519845	527605	7760
147	+	519868	527628	7760
--------------------------------------------------------------------------------
Block #554
Seq_id	Strand	Start	End	Length
32	+	556983	560565	3582
78	-	474063	470442	3621
--------------------------------------------------------------------------------
Block #553
Seq_id	Strand	Start	End	Length
32	+	550233	556982	6749
59	+	2888532	2895222	6690
66	+	556203	562894	6691
78	-	480754	474065	6689
114	+	828697	835385	6688
--------------------------------------------------------------------------------
Block #552
Seq_id	Strand	Start	End	Length
32	+	544428	550046	5618
114	+	822751	828510	5759
--------------------------------------------------------------------------------
Block #551
Seq_id	Strand	Start	End	Length
32	+	537794	542227	4433
59	+	2875632	2880024	4392
66	+	543303	547695	4392
78	-	493741	489306	4435
114	+	816127	820519	4392
--------------------------------------------------------------------------------
Block #550
Seq_id	Strand	Start	End	Length
32	+	528157	534811	6654
78	-	503126	497383	5743
--------------------------------------------------------------------------------
Block #549
Seq_id	Strand	Start	End	Length
31	+	3311792	3318124	6332
69	+	3835506	3841838	6332
--------------------------------------------------------------------------------
Block #548
Seq_id	Strand	Start	End	Length
31	+	3295765	3310669	14904
69	+	3819479	3834383	14904
--------------------------------------------------------------------------------
Block #547
Seq_id	Strand	Start	End	Length
30	+	724149	728180	4031
54	-	3166770	3161405	5365
83	+	753822	757853	4031
88	-	2703148	2699118	4030
--------------------------------------------------------------------------------
Block #546
Seq_id	Strand	Start	End	Length
30	+	718688	722866	4178
52	-	1259825	1255651	4174
54	-	3172233	3168054	4179
83	+	748359	752539	4180
88	-	2708611	2704432	4179
98	+	1194528	1198708	4180
107	-	3136990	3132811	4179
--------------------------------------------------------------------------------
Block #545
Seq_id	Strand	Start	End	Length
30	+	688924	692243	3319
94	-	2599986	2596669	3317
101	-	2911875	2908556	3319
141	+	55718	59037	3319
146	-	2490122	2486805	3317
149	-	1272913	1269594	3319
--------------------------------------------------------------------------------
Block #544
Seq_id	Strand	Start	End	Length
29	+	78963	84632	5669
109	+	1916247	1921916	5669
--------------------------------------------------------------------------------
Block #543
Seq_id	Strand	Start	End	Length
29	+	73760	78962	5202
109	+	1911044	1916246	5202
127	+	3648422	3653621	5199
--------------------------------------------------------------------------------
Block #542
Seq_id	Strand	Start	End	Length
29	+	62465	70469	8004
109	+	1896656	1904660	8004
--------------------------------------------------------------------------------
Block #257
Seq_id	Strand	Start	End	Length
2	+	1945185	1951123	5938
64	+	356131	362059	5928
126	+	175455	181386	5931
--------------------------------------------------------------------------------
Block #256
Seq_id	Strand	Start	End	Length
2	+	1923394	1939149	15755
126	+	94940	110696	15756
--------------------------------------------------------------------------------
Block #255
Seq_id	Strand	Start	End	Length
2	+	1314799	1318944	4145
55	-	2430426	2426280	4146
--------------------------------------------------------------------------------
Block #254
Seq_id	Strand	Start	End	Length
2	+	1305935	1310529	4594
55	-	2439290	2434696	4594
151	+	1940601	1946603	6002
--------------------------------------------------------------------------------
Block #253
Seq_id	Strand	Start	End	Length
2	+	1301043	1305933	4890
55	-	2444182	2439291	4891
--------------------------------------------------------------------------------
Block #252
Seq_id	Strand	Start	End	Length
1	+	3998406	4005432	7026
2	-	1642306	1635290	7016
3	-	1177358	1170324	7034
4	+	2854918	2861953	7035
5	+	1659950	1666932	6982
6	+	2825552	2832563	7011
