block,genome,chr/contig,start,end,orientation,length
649,BUMA.1121.00012,1,3927213,3930332,+,3119
649,BUMA.1121.00035,1,2263278,2266393,+,3115
648,BUMA.1121.00014,1,2480976,2485410,+,4434
648,BUMA.1121.00023,1,2742375,2746808,-,4433
647,BUMA.1121.00014,1,2298792,2308538,+,9746
647,BUMA.1121.00031,1,1908967,1920198,-,11231
646,BUMA.1121.00014,1,2291142,2297569,+,6427
646,BUMA.1121.00031,1,1921421,1927697,-,6276
645,BUMA.1121.00014,1,2278976,2285756,+,6780
645,BUMA.1121.00031,1,1933083,1939864,-,6781
644,BUMA.1121.00014,1,2268808,2277630,+,8822
644,BUMA.1121.00031,1,1942480,1951302,-,8822
643,BUMA.1121.00084,1,2295340,2298415,+,3075
643,BUMA.1121.00075,1,1426783,1429858,+,3075
643,BUMA.1121.00076,1,3383066,3386141,-,3075
643,BUMA.1121.00105,1,3291713,3294788,-,3075
642,BUMA.1121.00039,1,2555417,2560063,+,4646
642,BUMA.1121.00107,1,856475,859810,-,3335
642,BUMA.1121.00035,1,3573941,3577233,+,3292
641,BUMA.1121.00079,1,3597289,3614748,+,17459
641,BUMA.1121.00106,1,3297227,3313446,+,16219
640,BUMA.1121.00096,1,3195877,3199226,+,3349
640,BUMA.1121.00099,1,2379665,2383014,+,3349
640,BUMA.1121.00098,1,2758473,2761822,-,3349
639,BUMA.1121.00096,1,2171855,2176753,+,4898
639,BUMA.1121.00109,1,787875,792773,+,4898
639,BUMA.1121.00100,1,221476,226375,-,4899
638,BUMA.1121.00021,1,3714696,3718924,+,4228
638,BUMA.1121.00111,1,3241412,3245640,+,4228
638,BUMA.1121.00023,1,1388372,1392600,+,4228
637,BUMA.1121.00007,1,3143375,3147821,+,4446
637,BUMA.1121.00108,1,1974795,1979241,-,4446
636,BUMA.1121.00007,1,573661,577820,+,4159
636,BUMA.1121.00103,1,881629,885785,+,4156
635,BUMA.1121.00007,1,564232,568331,+,4099
635,BUMA.1121.00031,1,818051,822149,-,4098
634,BUMA.1121.00062,1,773669,780938,+,7269
634,BUMA.1121.00094,1,3812607,3819876,-,7269
633,BUMA.1121.00082,1,3102489,3107156,+,4667
633,BUMA.1121.00083,1,2672203,2676871,-,4668
632,BUMA.1121.00082,1,858906,872582,+,13676
632,BUMA.1121.00083,1,832238,845913,-,13675
631,BUMA.1121.00082,1,602368,638853,+,36485
631,BUMA.1121.00083,1,1065974,1102460,-,36486
630,BUMA.1121.00049,2,2329106,2334065,+,4959
630,BUMA.1121.00068,2,2229647,2234607,+,4960
629,BUMA.1121.00104,2,141073,153541,+,12468
629,BUMA.1121.00049,2,1846042,1858510,+,12468
628,BUMA.1121.00104,2,134284,137669,+,3385
628,BUMA.1121.00049,2,1836908,1840292,+,3384
627,BUMA.1121.00110,1,1327295,1336295,+,9000
627,BUMA.1121.00077,1,2147021,2156021,-,9000
626,BUMA.1121.00110,1,933329,942400,+,9071
626,BUMA.1121.00077,1,2540914,2549985,-,9071
625,BUMA.1121.00007,2,553189,562814,+,9625
625,BUMA.1121.00082,1,886364,895989,+,9625
625,BUMA.1121.00083,1,808831,818456,-,9625
624,BUMA.1121.00111,2,725236,732854,+,7618
624,BUMA.1121.00037,2,634656,642302,+,7646
623,BUMA.1121.00091,1,1401467,1409651,+,8184
623,BUMA.1121.00095,1,2599889,2608073,+,8184
623,BUMA.1121.00005,1,1819319,1827503,-,8184
623,BUMA.1121.00041,1,338484,346668,-,8184
622,BUMA.1121.00091,1,1395920,1401465,+,5545
622,BUMA.1121.00095,1,2592892,2598437,+,5545
622,BUMA.1121.00005,1,1827504,1833049,-,5545
622,BUMA.1121.00041,1,346669,352214,-,5545
621,BUMA.1121.00091,1,1387167,1391620,+,4453
621,BUMA.1121.00095,1,2584150,2588593,+,4443
621,BUMA.1121.00005,1,1837348,1841801,-,4453
621,BUMA.1121.00041,1,356513,360966,-,4453
620,BUMA.1121.00091,1,874026,878191,+,4165
620,BUMA.1121.00103,1,728960,733124,+,4164
619,BUMA.1121.00091,1,863885,874025,+,10140
619,BUMA.1121.00103,1,718819,728959,+,10140
619,BUMA.1121.00107,1,3589359,3599507,-,10148
618,BUMA.1121.00112,1,2514168,2520121,+,5953
618,BUMA.1121.00105,1,643974,649939,+,5965
617,BUMA.1121.00112,1,348516,353039,+,4523
617,BUMA.1121.00014,1,166909,171400,+,4491
616,BUMA.1121.00112,1,336975,345004,+,8029
616,BUMA.1121.00014,1,153571,161606,+,8035
615,BUMA.1121.00112,1,331135,334598,+,3463
615,BUMA.1121.00014,1,144809,148278,+,3469
614,BUMA.1121.00112,1,312931,326107,+,13176
614,BUMA.1121.00014,1,125956,139105,+,13149
613,BUMA.1121.00112,1,298154,306626,+,8472
613,BUMA.1121.00014,1,111452,119925,+,8473
612,BUMA.1121.00056,1,3828169,3841213,+,13044
612,BUMA.1121.00089,1,84218,97262,-,13044
611,BUMA.1121.00056,1,323125,326161,+,3036
611,BUMA.1121.00047,1,3365658,3368694,+,3036
611,BUMA.1121.00067,1,537713,540749,-,3036
611,BUMA.1121.00079,1,3712115,3715150,-,3035
611,BUMA.1121.00089,1,3600771,3603806,-,3035
611,BUMA.1121.00107,1,3570679,3573719,-,3040
611,BUMA.1121.00094,1,3628957,3631992,-,3035
610,BUMA.1121.00056,1,313329,317026,+,3697
610,BUMA.1121.00047,1,3355862,3359559,+,3697
610,BUMA.1121.00079,1,3721249,3724947,-,3698
610,BUMA.1121.00089,1,3609905,3613603,-,3698
610,BUMA.1121.00107,1,3578457,3582163,-,3706
610,BUMA.1121.00094,1,3638091,3641789,-,3698
609,BUMA.1121.00103,2,3343121,3347192,+,4071
609,BUMA.1121.00095,2,3202646,3206717,-,4071
608,BUMA.1121.00103,2,983731,1006379,+,22648
608,BUMA.1121.00007,2,2465247,2487895,+,22648
608,BUMA.1121.00100,1,3272237,3294860,-,22623
607,BUMA.1121.00103,2,969834,974373,+,4539
607,BUMA.1121.00007,2,2451348,2455895,+,4547
606,BUMA.1121.00103,2,634793,659864,+,25071
606,BUMA.1121.00095,2,880233,905304,+,25071
605,BUMA.1121.00031,2,2895223,2899090,+,3867
605,BUMA.1121.00014,2,562895,566762,+,3867
605,BUMA.1121.00037,2,835386,839263,+,3877
604,BUMA.1121.00031,2,2882248,2887032,+,4784
604,BUMA.1121.00014,2,549919,554703,+,4784
604,BUMA.1121.00074,2,482291,487098,-,4807
603,BUMA.1121.00031,2,2866524,2872149,+,5625
603,BUMA.1121.00014,2,534300,539818,+,5518
603,BUMA.1121.00037,2,807639,813166,+,5527
602,BUMA.1121.00043,1,3995511,4004127,+,8616
602,BUMA.1121.00078,1,1889620,1898501,+,8881
601,BUMA.1121.00043,1,3186059,3190402,+,4343
601,BUMA.1121.00029,1,1866305,1870648,-,4343
600,BUMA.1121.00043,1,2797805,2802008,+,4203
600,BUMA.1121.00043,2,904961,909177,-,4216
600,BUMA.1121.00012,2,271755,275971,-,4216
599,BUMA.1121.00059,1,3580269,3584860,+,4591
599,BUMA.1121.00091,1,181366,185958,-,4592
599,BUMA.1121.00110,1,454429,459021,-,4592
599,BUMA.1121.00077,1,3024394,3028984,+,4590
599,BUMA.1121.00039,1,442291,446858,+,4567
599,BUMA.1121.00107,1,173769,178360,+,4591
599,BUMA.1121.00097,1,3693413,3698017,-,4604
599,BUMA.1121.00101,1,2140351,2144955,-,4604
599,BUMA.1121.00100,1,972649,977241,-,4592
598,BUMA.1121.00059,1,3568917,3575325,+,6408
598,BUMA.1121.00110,1,464863,471261,-,6398
598,BUMA.1121.00077,1,3012156,3018551,+,6395
597,BUMA.1121.00059,1,3313987,3322894,+,8907
597,BUMA.1121.00110,1,722446,731354,-,8908
597,BUMA.1121.00077,1,2752039,2760946,+,8907
596,BUMA.1121.00053,1,3540437,3545525,+,5088
596,BUMA.1121.00041,1,1032905,1037993,+,5088
595,BUMA.1121.00053,1,3531389,3536246,+,4857
595,BUMA.1121.00041,1,1023857,1028714,+,4857
594,BUMA.1121.00053,1,2344074,2350972,+,6898
594,BUMA.1121.00102,1,2703117,2710015,-,6898
594,BUMA.1121.00111,1,1664536,1671449,-,6913
593,BUMA.1121.00053,1,2314402,2322483,+,8081
593,BUMA.1121.00102,1,2731606,2739687,-,8081
592,BUMA.1121.00053,1,848562,851647,+,3085
592,BUMA.1121.00091,1,3426988,3430073,-,3085
592,BUMA.1121.00110,1,3673274,3676359,-,3085
592,BUMA.1121.00077,1,3815940,3819026,+,3086
592,BUMA.1121.00103,1,3301614,3304697,-,3083
592,BUMA.1121.00102,1,103559,106643,-,3084
592,BUMA.1121.00095,1,558422,561507,-,3085
592,BUMA.1121.00005,1,2467953,2472324,-,4371
591,BUMA.1121.00090,2,2626265,2632962,+,6697
591,BUMA.1121.00033,2,2265546,2272235,-,6689
591,BUMA.1121.00043,2,790941,797630,+,6689
591,BUMA.1121.00012,2,157712,164401,+,6689
590,BUMA.1121.00027,1,3183181,3193244,+,10063
590,BUMA.1121.00065,1,1042926,1052991,+,10065
589,BUMA.1121.00027,1,1966511,1971132,+,4621
589,BUMA.1121.00082,1,3882621,3887222,+,4601
589,BUMA.1121.00083,1,1892149,1896749,-,4600
588,BUMA.1121.00080,1,3024760,3028181,+,3421
588,BUMA.1121.00047,1,4000649,4004066,-,3417
588,BUMA.1121.00079,1,3059086,3062507,+,3421
587,BUMA.1121.00080,1,3011499,3020799,+,9300
587,BUMA.1121.00047,1,4006820,4016119,-,9299
587,BUMA.1121.00079,1,3045825,3055125,+,9300
586,BUMA.1121.00018,1,3628461,3635417,+,6956
586,BUMA.1121.00025,1,3774409,3781367,-,6958
586,BUMA.1121.00021,1,3643993,3650951,+,6958
585,BUMA.1121.00018,1,2271943,2312879,+,40936
585,BUMA.1121.00025,1,946878,987816,-,40938
584,BUMA.1121.00018,1,1533481,1537211,+,3730
584,BUMA.1121.00053,1,709577,713317,+,3740
584,BUMA.1121.00110,1,3811605,3815350,-,3745
584,BUMA.1121.00077,1,3676922,3680664,+,3742
584,BUMA.1121.00025,1,1722656,1726387,-,3731
584,BUMA.1121.00102,1,243645,247376,-,3731
584,BUMA.1121.00098,1,3705137,3708868,+,3731
583,BUMA.1121.00018,1,1335767,1339834,+,4067
583,BUMA.1121.00025,1,1920038,1924105,-,4067
583,BUMA.1121.00099,1,1586371,1590437,-,4066
582,BUMA.1121.00018,1,1313462,1332638,+,19176
582,BUMA.1121.00025,1,1927233,1946410,-,19177
581,BUMA.1121.00018,1,1295700,1298995,+,3295
581,BUMA.1121.00025,1,1960876,1964171,-,3295
580,BUMA.1121.00018,1,1284830,1291605,+,6775
580,BUMA.1121.00025,1,1968266,1975041,-,6775
579,BUMA.1121.00018,1,1280407,1283976,+,3569
579,BUMA.1121.00025,1,1975896,1979464,-,3568
578,BUMA.1121.00018,1,1273499,1279748,+,6249
578,BUMA.1121.00025,1,1980123,1986372,-,6249
577,BUMA.1121.00018,1,289354,294417,+,5063
577,BUMA.1121.00025,1,2965463,2970526,-,5063
576,BUMA.1121.00018,1,262834,281777,+,18943
576,BUMA.1121.00025,1,2978103,2997047,-,18944
575,BUMA.1121.00018,1,257791,261671,+,3880
575,BUMA.1121.00025,1,2998210,3002091,-,3881
574,BUMA.1121.00018,1,247890,251774,+,3884
574,BUMA.1121.00025,1,3008108,3011991,-,3883
573,BUMA.1121.00033,1,4103546,4121408,+,17862
573,BUMA.1121.00078,1,129268,147133,-,17865
573,BUMA.1121.00012,1,521764,539626,+,17862
572,BUMA.1121.00033,1,4090210,4103544,+,13334
572,BUMA.1121.00078,1,148756,162285,-,13529
572,BUMA.1121.00012,1,508427,521762,+,13335
571,BUMA.1121.00110,2,2205902,2210781,+,4879
571,BUMA.1121.00077,2,1405299,1410177,-,4878
570,BUMA.1121.00110,2,2188750,2198791,+,10041
570,BUMA.1121.00077,2,1417288,1427329,-,10041
569,BUMA.1121.00110,2,2180333,2185293,+,4960
569,BUMA.1121.00077,2,1430788,1435748,-,4960
568,BUMA.1121.00110,2,401584,406587,+,5003
568,BUMA.1121.00057,2,1559217,1563752,-,4535
568,BUMA.1121.00027,2,1584645,1589178,+,4533
568,BUMA.1121.00077,2,3210009,3215011,-,5002
568,BUMA.1121.00041,2,1424756,1429317,+,4561
568,BUMA.1121.00082,2,532972,537508,+,4536
568,BUMA.1121.00083,2,2329929,2334465,+,4536
567,BUMA.1121.00110,2,396441,401120,+,4679
567,BUMA.1121.00057,2,1564216,1568895,-,4679
567,BUMA.1121.00027,2,1579505,1584181,+,4676
567,BUMA.1121.00077,2,3215475,3220154,-,4679
567,BUMA.1121.00082,2,527829,532508,+,4679
567,BUMA.1121.00083,2,2324786,2329465,+,4679
566,BUMA.1121.00109,2,3183480,3187271,+,3791
566,BUMA.1121.00062,2,191818,195605,+,3787
566,BUMA.1121.00084,2,197592,201380,-,3788
566,BUMA.1121.00088,2,1494067,1497855,-,3788
566,BUMA.1121.00105,2,932023,935810,+,3787
566,BUMA.1121.00059,2,2104099,2107886,+,3787
566,BUMA.1121.00058,2,2100670,2104458,-,3788
566,BUMA.1121.00106,2,261633,265420,+,3787
565,BUMA.1121.00109,2,3152841,3173721,+,20880
565,BUMA.1121.00062,2,161114,182059,+,20945
565,BUMA.1121.00084,2,212088,233027,-,20939
565,BUMA.1121.00088,2,1508563,1529502,-,20939
565,BUMA.1121.00105,2,901320,922264,+,20944
565,BUMA.1121.00059,2,2073400,2094340,+,20940
565,BUMA.1121.00058,2,2114216,2135144,-,20928
565,BUMA.1121.00106,2,205550,226492,-,20942
564,BUMA.1121.00109,2,3148374,3151914,+,3540
564,BUMA.1121.00062,2,156112,159653,+,3541
564,BUMA.1121.00084,2,235203,238743,-,3540
564,BUMA.1121.00088,2,1531678,1535218,-,3540
564,BUMA.1121.00105,2,895598,899144,+,3546
564,BUMA.1121.00059,2,2069261,2072802,+,3541
564,BUMA.1121.00058,2,2136589,2140130,-,3541
564,BUMA.1121.00106,2,229879,233420,-,3541
563,BUMA.1121.00109,2,3129915,3148373,+,18458
563,BUMA.1121.00062,2,137653,156111,+,18458
563,BUMA.1121.00084,2,238745,257202,-,18457
563,BUMA.1121.00088,2,1535220,1553677,-,18457
563,BUMA.1121.00105,2,875932,894390,+,18458
563,BUMA.1121.00059,2,2050802,2069260,+,18458
563,BUMA.1121.00058,2,2140132,2158588,-,18456
563,BUMA.1121.00106,2,233422,251874,-,18452
562,BUMA.1121.00109,2,3123395,3129914,+,6519
562,BUMA.1121.00109,2,3173723,3180242,-,6519
562,BUMA.1121.00062,2,131134,137652,+,6518
562,BUMA.1121.00062,2,182061,188580,-,6519
562,BUMA.1121.00084,2,205568,212087,+,6519
562,BUMA.1121.00084,2,257204,263723,-,6519
562,BUMA.1121.00088,2,1502043,1508562,+,6519
562,BUMA.1121.00088,2,1553679,1560198,-,6519
562,BUMA.1121.00105,2,869412,875931,+,6519
562,BUMA.1121.00105,2,922266,928785,-,6519
562,BUMA.1121.00059,2,2044282,2050801,+,6519
562,BUMA.1121.00059,2,2094342,2100861,-,6519
562,BUMA.1121.00058,2,2107696,2114215,+,6519
562,BUMA.1121.00058,2,2158590,2165109,-,6519
562,BUMA.1121.00106,2,199030,205549,+,6519
562,BUMA.1121.00106,2,251876,258395,-,6519
561,BUMA.1121.00109,2,2396823,2421085,+,24262
561,BUMA.1121.00047,1,567597,590643,+,23046
561,BUMA.1121.00003,2,459936,482981,-,23045
561,BUMA.1121.00065,2,2286570,2309616,-,23046
561,BUMA.1121.00095,2,1076766,1099784,-,23018
560,BUMA.1121.00109,2,2387287,2391339,+,4052
560,BUMA.1121.00003,2,488186,492287,-,4101
560,BUMA.1121.00065,2,2314132,2318185,-,4053
560,BUMA.1121.00095,2,1105571,1109381,-,3810
559,BUMA.1121.00109,2,1436420,1443820,+,7400
559,BUMA.1121.00104,2,126889,134283,-,7394
559,BUMA.1121.00049,2,1829513,1836907,-,7394
558,BUMA.1121.00093,2,2418376,2422341,+,3965
558,BUMA.1121.00092,2,522556,526521,-,3965
557,BUMA.1121.00093,2,2409772,2417253,+,7481
557,BUMA.1121.00092,2,527644,535125,-,7481
556,BUMA.1121.00093,2,2403725,2408799,+,5074
556,BUMA.1121.00092,2,536098,541173,-,5075
555,BUMA.1121.00094,2,562179,569939,+,7760
555,BUMA.1121.00079,2,520145,527905,+,7760
555,BUMA.1121.00047,2,1450323,1458076,+,7753
555,BUMA.1121.00051,2,519845,527605,+,7760
555,BUMA.1121.00080,2,519868,527628,+,7760
554,BUMA.1121.00094,2,556983,560565,+,3582
554,BUMA.1121.00074,2,470442,474063,-,3621
553,BUMA.1121.00094,2,550233,556982,+,6749
553,BUMA.1121.00031,2,2888532,2895222,+,6690
553,BUMA.1121.00014,2,556203,562894,+,6691
553,BUMA.1121.00074,2,474065,480754,-,6689
553,BUMA.1121.00037,2,828697,835385,+,6688
552,BUMA.1121.00094,2,544428,550046,+,5618
552,BUMA.1121.00037,2,822751,828510,+,5759
551,BUMA.1121.00094,2,537794,542227,+,4433
551,BUMA.1121.00031,2,2875632,2880024,+,4392
551,BUMA.1121.00014,2,543303,547695,+,4392
551,BUMA.1121.00074,2,489306,493741,-,4435
551,BUMA.1121.00037,2,816127,820519,+,4392
550,BUMA.1121.00094,2,528157,534811,+,6654
550,BUMA.1121.00074,2,497383,503126,-,5743
549,BUMA.1121.00074,1,3311792,3318124,+,6332
549,BUMA.1121.00067,1,3835506,3841838,+,6332
548,BUMA.1121.00074,1,3295765,3310669,+,14904
548,BUMA.1121.00067,1,3819479,3834383,+,14904
547,BUMA.1121.00099,2,724149,728180,+,4031
547,BUMA.1121.00091,2,3161405,3166770,-,5365
547,BUMA.1121.00053,2,753822,757853,+,4031
547,BUMA.1121.00078,2,2699118,2703148,-,4030
546,BUMA.1121.00099,2,718688,722866,+,4178
546,BUMA.1121.00062,2,1255651,1259825,-,4174
546,BUMA.1121.00091,2,3168054,3172233,-,4179
546,BUMA.1121.00053,2,748359,752539,+,4180
546,BUMA.1121.00078,2,2704432,2708611,-,4179
546,BUMA.1121.00033,2,1194528,1198708,+,4180
546,BUMA.1121.00059,2,3132811,3136990,-,4179
545,BUMA.1121.00099,2,688924,692243,+,3319
545,BUMA.1121.00007,1,2596669,2599986,-,3317
545,BUMA.1121.00101,2,2908556,2911875,-,3319
545,BUMA.1121.00098,1,55718,59037,+,3319
545,BUMA.1121.00097,1,2486805,2490122,-,3317
545,BUMA.1121.00012,2,1269594,1272913,-,3319
544,BUMA.1121.00016,2,78963,84632,+,5669
544,BUMA.1121.00043,2,1916247,1921916,+,5669
543,BUMA.1121.00016,2,73760,78962,+,5202
543,BUMA.1121.00043,2,1911044,1916246,+,5202
543,BUMA.1121.00090,1,3648422,3653621,+,5199
542,BUMA.1121.00016,2,62465,70469,+,8004
542,BUMA.1121.00043,2,1896656,1904660,+,8004
257,BUMA.1121.00058,1,1945185,1951123,+,5938
257,BUMA.1121.00112,1,356131,362059,+,5928
257,BUMA.1121.00014,1,175455,181386,+,5931
256,BUMA.1121.00058,1,1923394,1939149,+,15755
256,BUMA.1121.00014,1,94940,110696,+,15756
255,BUMA.1121.00058,1,1314799,1318944,+,4145
255,BUMA.1121.00059,1,2426280,2430426,-,4146
254,BUMA.1121.00058,1,1305935,1310529,+,4594
254,BUMA.1121.00059,1,2434696,2439290,-,4594
254,BUMA.1121.00005,1,1940601,1946603,+,6002
253,BUMA.1121.00058,1,1301043,1305933,+,4890
253,BUMA.1121.00059,1,2439291,2444182,-,4891
252,BUMA.1121.00057,1,3998406,4005432,+,7026
252,BUMA.1121.00058,1,1635290,1642306,-,7016
252,BUMA.1121.00045,1,1170324,1177358,-,7034
252,BUMA.1121.00051,1,2854918,2861953,+,7035
252,BUMA.1121.00068,1,1659950,1666932,+,6982
252,BUMA.1121.00061,1,2825552,2832563,+,7011
252,BUMA.1121.00060,1,3415542,3422576,-,7034
252,BUMA.1121.00064,1,2894363,2901371,+,7008
252,BUMA.1121.00016,1,999962,1006968,+,7006
252,BUMA.1121.00003,1,1376430,1383465,+,7035
252,BUMA.1121.00055,1,2568495,2575494,+,6999
252,BUMA.1121.00011,1,2772651,2779541,-,6890
252,BUMA.1121.00037,1,1490399,1497415,+,7016
252,BUMA.1121.00009,1,2687571,2694692,-,7121
252,BUMA.1121.00069,1,2794864,2801870,+,7006
252,BUMA.1121.00088,1,3798897,3805937,+,7040
252,BUMA.1121.00092,1,888496,895508,-,7012
252,BUMA.1121.00074,1,972894,979901,-,7007
252,BUMA.1121.00070,1,2796669,2803676,+,7007
252,BUMA.1121.00093,1,3730599,3737612,+,7013
252,BUMA.1121.00063,1,2822388,2829390,+,7002
252,BUMA.1121.00033,1,1076448,1083436,+,6988
252,BUMA.1121.00018,1,3479104,3486111,+,7007
252,BUMA.1121.00080,1,2886666,2893701,+,7035
252,BUMA.1121.00027,1,1075814,1082870,+,7056
252,BUMA.1121.00053,1,2649084,2656104,+,7020
252,BUMA.1121.00059,1,2115629,2122655,+,7026
252,BUMA.1121.00043,1,2971943,2978929,+,6986
252,BUMA.1121.00056,1,1077020,1084054,-,7034
252,BUMA.1121.00112,1,4177949,4184965,-,7016
252,BUMA.1121.00091,1,1627378,1634394,-,7016
252,BUMA.1121.00047,1,58972,66015,-,7043
252,BUMA.1121.00067,1,1527247,1534263,-,7016
252,BUMA.1121.00110,1,1927575,1934699,-,7124
252,BUMA.1121.00073,1,2823789,2830797,+,7008
252,BUMA.1121.00072,1,2796408,2803434,+,7026
252,BUMA.1121.00077,1,1548512,1555638,+,7126
252,BUMA.1121.00082,1,2983092,2990118,+,7026
252,BUMA.1121.00062,1,1671702,1678727,-,7025
252,BUMA.1121.00007,1,1168557,1175529,-,6972
252,BUMA.1121.00025,1,3923724,3930739,-,7015
252,BUMA.1121.00021,1,3486476,3493474,+,6998
252,BUMA.1121.00103,1,1477701,1484655,-,6954
252,BUMA.1121.00096,1,385736,392752,-,7016
252,BUMA.1121.00079,1,2921012,2928038,+,7026
252,BUMA.1121.00039,1,3026648,3033641,+,6993
252,BUMA.1121.00083,1,2789242,2796267,-,7025
252,BUMA.1121.00084,1,3253220,3260251,+,7031
252,BUMA.1121.00049,1,2940201,2947235,-,7034
252,BUMA.1121.00089,1,2842791,2849826,+,7035
252,BUMA.1121.00014,1,4027249,4034201,-,6952
252,BUMA.1121.00090,1,963244,970243,+,6999
252,BUMA.1121.00071,1,2814239,2821247,+,7008
252,BUMA.1121.00078,1,3117820,3124830,-,7010
252,BUMA.1121.00102,1,2398759,2405760,-,7001
252,BUMA.1121.00075,1,2378770,2385794,+,7024
252,BUMA.1121.00012,1,1640173,1647168,+,6995
252,BUMA.1121.00076,1,2426481,2433506,-,7025
252,BUMA.1121.00106,1,2627722,2634739,+,7017
252,BUMA.1121.00001,1,1192699,1199700,-,7001
252,BUMA.1121.00107,1,2828237,2835326,+,7089
252,BUMA.1121.00104,1,2356653,2363678,-,7025
252,BUMA.1121.00099,1,3520873,3527930,-,7057
252,BUMA.1121.00098,1,1547896,1554895,+,6999
252,BUMA.1121.00111,1,3058379,3065405,+,7026
252,BUMA.1121.00109,1,3018289,3025296,-,7007
252,BUMA.1121.00097,1,1035911,1042945,-,7034
252,BUMA.1121.00094,1,2871784,2878819,+,7035
252,BUMA.1121.00095,1,2825354,2832498,-,7144
252,BUMA.1121.00005,1,1591049,1598038,+,6989
252,BUMA.1121.00101,1,3556513,3563637,-,7124
252,BUMA.1121.00065,1,2943031,2950030,+,6999
252,BUMA.1121.00100,1,2437577,2444593,-,7016
252,BUMA.1121.00105,1,2308372,2315388,-,7016
252,BUMA.1121.00029,1,2077120,2084105,-,6985
252,BUMA.1121.00066,1,2799256,2806282,+,7026
252,BUMA.1121.00031,1,216571,223515,+,6944
252,BUMA.1121.00108,1,3925114,3932104,+,6990
252,BUMA.1121.00023,1,1206758,1213756,+,6998
252,BUMA.1121.00035,1,4040500,4047495,+,6995
252,BUMA.1121.00041,1,60070,67136,+,7066
251,BUMA.1121.00057,1,3987734,3997933,+,10199
251,BUMA.1121.00058,1,1642779,1652944,-,10165
251,BUMA.1121.00045,1,1177831,1188028,-,10197
251,BUMA.1121.00051,1,2844166,2854445,+,10279
251,BUMA.1121.00068,1,1649191,1659477,+,10286
251,BUMA.1121.00061,1,2814859,2825079,+,10220
251,BUMA.1121.00060,1,3423049,3433246,-,10197
251,BUMA.1121.00064,1,2883754,2893890,+,10136
251,BUMA.1121.00016,1,989354,999489,+,10135
251,BUMA.1121.00003,1,1365740,1375957,+,10217
251,BUMA.1121.00055,1,2556375,2566429,+,10054
251,BUMA.1121.00011,1,2780014,2790155,-,10141
251,BUMA.1121.00037,1,1479799,1489926,+,10127
251,BUMA.1121.00009,1,2695165,2705348,-,10183
251,BUMA.1121.00069,1,2784201,2794391,+,10190
251,BUMA.1121.00088,1,3788271,3798424,+,10153
251,BUMA.1121.00092,1,895981,906200,-,10219
251,BUMA.1121.00074,1,980374,990568,-,10194
251,BUMA.1121.00070,1,2785972,2796196,+,10224
251,BUMA.1121.00093,1,3719907,3730126,+,10219
251,BUMA.1121.00063,1,2811678,2821915,+,10237
251,BUMA.1121.00033,1,1065806,1075975,+,10169
251,BUMA.1121.00018,1,3468441,3478631,+,10190
251,BUMA.1121.00080,1,2876014,2886193,+,10179
