genome,core,chr/contig,type,covered,"chr,core"
BUMA.1121.00018,all,1,gene,10.326361986318206,"1,all"
BUMA.1121.00018,all,2,gene,11.954306772745634,"2,all"
BUMA.1121.00018,all,2,"block, gene",70.70001873736119,"2,all"
BUMA.1121.00018,all,2,block,14.367892850821429,"2,all"
BUMA.1121.00021,all,1,gene,10.963617028005757,"1,all"
BUMA.1121.00021,all,1,"block, gene",72.9993170533074,"1,all"
BUMA.1121.00021,all,1,block,12.629003787339691,"1,all"
BUMA.1121.00021,all,2,gene,11.71916341206916,"2,all"
BUMA.1121.00021,all,2,block,14.223135353769626,"2,all"
BUMA.1121.00021,all,2,"block, gene",70.82516033518823,"2,all"
BUMA.1121.00023,all,1,block,12.505955466648777,"1,all"
BUMA.1121.00023,all,1,"block, gene",72.19242896436478,"1,all"
BUMA.1121.00023,all,1,gene,11.700598291119555,"1,all"
BUMA.1121.00023,all,2,block,13.589802364429787,"2,all"
BUMA.1121.00023,all,2,"block, gene",69.96449534964255,"2,all"
BUMA.1121.00023,all,2,gene,13.119713892411418,"2,all"
BUMA.1121.00025,all,1,gene,8.75985026875756,"1,all"
BUMA.1121.00025,all,1,"block, gene",52.04539652774298,"1,all"
BUMA.1121.00025,all,1,block,33.539034858559326,"1,all"
BUMA.1121.00025,all,2,gene,43.19490401341747,"2,all"
BUMA.1121.00025,all,2,"block, gene",71.32767040427778,"2,all"
BUMA.1121.00025,all,2,block,13.732245697589976,"2,all"
BUMA.1121.00027,all,1,block,13.263832236255874,"1,all"
BUMA.1121.00027,all,1,"block, gene",73.67392958614644,"1,all"
BUMA.1121.00027,all,1,gene,10.035136887300995,"1,all"
BUMA.1121.00027,all,2,gene,13.055167303219308,"2,all"
BUMA.1121.00027,all,2,"block, gene",69.75251749017104,"2,all"
BUMA.1121.00027,all,2,block,13.999380956607066,"2,all"
BUMA.1121.00029,all,1,gene,8.948614090601957,"1,all"
BUMA.1121.00029,all,1,"block, gene",57.575357015824025,"1,all"
BUMA.1121.00029,all,1,block,28.003899081721944,"1,all"
BUMA.1121.00029,all,2,gene,35.00825787711508,"2,all"
BUMA.1121.00029,all,2,"block, gene",69.1813639130311,"2,all"
BUMA.1121.00029,all,2,block,13.06614349947319,"2,all"
BUMA.1121.00031,all,1,block,12.717734744466691,"1,all"
BUMA.1121.00031,all,1,"block, gene",73.24801823002755,"1,all"
BUMA.1121.00031,all,1,gene,10.614817096438454,"1,all"
BUMA.1121.00031,all,2,block,13.75439425899497,"2,all"
BUMA.1121.00031,all,2,"block, gene",69.87607431805355,"2,all"
BUMA.1121.00031,all,2,gene,13.162828480524105,"2,all"
BUMA.1121.00033,all,1,gene,12.932480577635658,"1,all"
BUMA.1121.00033,all,1,"block, gene",70.81944090216444,"1,all"
BUMA.1121.00033,all,1,block,12.334403214558465,"1,all"
BUMA.1121.00033,all,2,gene,14.000313707314774,"2,all"
BUMA.1121.00033,all,2,"block, gene",69.16833355777683,"2,all"
BUMA.1121.00033,all,2,block,13.458043803772068,"2,all"
BUMA.1121.00035,all,1,gene,11.944163622508357,"1,all"
BUMA.1121.00035,all,1,block,12.547124104372113,"1,all"
BUMA.1121.00035,all,1,"block, gene",72.05859340598555,"1,all"
BUMA.1121.00035,all,2,gene,13.798393908793399,"2,all"
BUMA.1121.00035,all,2,block,13.484954198304752,"2,all"
BUMA.1121.00035,all,2,"block, gene",69.26669805902671,"2,all"
BUMA.1121.00037,all,1,gene,10.678124043283974,"1,all"
BUMA.1121.00037,all,1,"block, gene",73.12688503318105,"1,all"
BUMA.1121.00037,all,1,block,12.648353833903297,"1,all"
BUMA.1121.00037,all,2,gene,12.763935860176456,"2,all"
BUMA.1121.00037,all,2,"block, gene",70.26174831176127,"2,all"
BUMA.1121.00037,all,2,block,13.896036975880701,"2,all"
BUMA.1121.00039,all,1,block,30.71267491058327,"1,all"
BUMA.1121.00039,all,1,"block, gene",54.65915880815917,"1,all"
BUMA.1121.00039,all,1,gene,9.757209555641989,"1,all"
BUMA.1121.00039,all,2,block,13.448333985300525,"2,all"
BUMA.1121.00039,all,2,"block, gene",71.06137078487309,"2,all"
BUMA.1121.00039,all,2,gene,36.90824436366412,"2,all"
BUMA.1121.00041,all,1,block,29.685389313132166,"1,all"
BUMA.1121.00041,all,1,"block, gene",54.595151970663615,"1,all"
BUMA.1121.00041,all,1,gene,10.346135113945957,"1,all"
BUMA.1121.00041,all,2,gene,36.89137959960166,"2,all"
BUMA.1121.00041,all,2,"block, gene",70.14589743313483,"2,all"
BUMA.1121.00041,all,2,block,13.276804940103402,"2,all"
BUMA.1121.00043,all,1,block,29.84332930668485,"1,all"
BUMA.1121.00043,all,1,"block, gene",54.52531223679087,"1,all"
BUMA.1121.00043,all,1,gene,10.565991040208482,"1,all"
BUMA.1121.00043,all,2,block,13.2954150292645,"2,all"
BUMA.1121.00043,all,2,"block, gene",70.00903151733468,"2,all"
BUMA.1121.00043,all,2,gene,37.31126866057368,"2,all"
BUMA.1121.00045,all,1,gene,9.539030532848928,"1,all"
BUMA.1121.00045,all,1,"block, gene",74.44716478911468,"1,all"
BUMA.1121.00045,all,1,block,12.997464614441522,"1,all"
BUMA.1121.00045,all,2,block,13.837745778705187,"2,all"
BUMA.1121.00045,all,2,"block, gene",70.17047817047816,"2,all"
BUMA.1121.00045,all,2,gene,12.814048223642319,"2,all"
BUMA.1121.00047,all,1,gene,10.209062562852324,"1,all"
BUMA.1121.00047,all,1,"block, gene",73.95455888451743,"1,all"
BUMA.1121.00047,all,1,block,12.937430793710455,"1,all"
BUMA.1121.00047,all,2,gene,12.220133310545206,"2,all"
BUMA.1121.00047,all,2,"block, gene",70.13121808397638,"2,all"
BUMA.1121.00047,all,2,block,14.348725435543408,"2,all"
BUMA.1121.00049,all,1,gene,10.199182303964827,"1,all"
BUMA.1121.00049,all,1,"block, gene",73.90724463611683,"1,all"
BUMA.1121.00049,all,1,block,12.804537719570774,"1,all"
BUMA.1121.00049,all,2,block,14.126552729881919,"2,all"
BUMA.1121.00049,all,2,"block, gene",70.37760756817383,"2,all"
BUMA.1121.00049,all,2,gene,12.253033263702132,"2,all"
BUMA.1121.00051,all,1,block,13.028290888806845,"1,all"
BUMA.1121.00051,all,1,"block, gene",74.15696181196526,"1,all"
BUMA.1121.00051,all,1,gene,9.67735705571697,"1,all"
BUMA.1121.00051,all,2,gene,11.91003770096347,"2,all"
BUMA.1121.00051,all,2,"block, gene",70.41114754414095,"2,all"
BUMA.1121.00051,all,2,block,14.393004858272304,"2,all"
BUMA.1121.00053,all,1,block,12.758187331222246,"1,all"
BUMA.1121.00053,all,1,"block, gene",73.1360532099854,"1,all"
BUMA.1121.00053,all,1,gene,10.978117226654263,"1,all"
BUMA.1121.00053,all,2,block,14.127718392808422,"2,all"
BUMA.1121.00053,all,2,"block, gene",69.5239817699642,"2,all"
BUMA.1121.00053,all,2,gene,12.28212304217607,"2,all"
BUMA.1121.00055,all,1,block,12.795794767762326,"1,all"
BUMA.1121.00055,all,1,"block, gene",73.6360457679885,"1,all"
BUMA.1121.00055,all,1,gene,10.303214265932676,"1,all"
BUMA.1121.00055,all,2,block,14.04870644779056,"2,all"
BUMA.1121.00055,all,2,"block, gene",69.83398682169634,"2,all"
BUMA.1121.00055,all,2,gene,13.032666394058708,"2,all"
BUMA.1121.00056,all,1,gene,9.643468747325407,"1,all"
BUMA.1121.00056,all,1,"block, gene",74.51169617576804,"1,all"
BUMA.1121.00056,all,1,block,13.000937942915744,"1,all"
BUMA.1121.00056,all,2,block,14.52026771317477,"2,all"
BUMA.1121.00056,all,2,"block, gene",70.33821321248718,"2,all"
BUMA.1121.00056,all,2,gene,11.464105584363756,"2,all"
BUMA.1121.00057,all,1,block,13.294134350670367,"1,all"
BUMA.1121.00057,all,1,"block, gene",74.9729201137742,"1,all"
BUMA.1121.00057,all,1,gene,8.798910666193898,"1,all"
BUMA.1121.00057,all,2,block,14.117012539606385,"2,all"
BUMA.1121.00057,all,2,"block, gene",70.33214888496833,"2,all"
BUMA.1121.00057,all,2,gene,12.46856496976439,"2,all"
BUMA.1121.00058,all,1,block,12.941598542680149,"1,all"
BUMA.1121.00058,all,1,"block, gene",73.99793860106263,"1,all"
BUMA.1121.00058,all,1,gene,9.741773192401258,"1,all"
BUMA.1121.00058,all,2,block,14.118532442437576,"2,all"
BUMA.1121.00058,all,2,"block, gene",71.09208774682332,"2,all"
BUMA.1121.00058,all,2,gene,11.867555322430158,"2,all"
BUMA.1121.00059,all,1,gene,8.405949342871942,"1,all"
BUMA.1121.00059,all,1,"block, gene",57.308005268812856,"1,all"
BUMA.1121.00059,all,1,block,30.417429041109028,"1,all"
BUMA.1121.00059,all,2,gene,34.5378267928331,"2,all"
BUMA.1121.00059,all,2,"block, gene",71.51675193510721,"2,all"
BUMA.1121.00059,all,2,block,13.36540698562132,"2,all"
BUMA.1121.00060,all,1,block,13.002193797558611,"1,all"
BUMA.1121.00060,all,1,"block, gene",74.43658611463974,"1,all"
BUMA.1121.00060,all,1,gene,9.542671079140414,"1,all"
BUMA.1121.00060,all,2,gene,12.677491327373852,"2,all"
BUMA.1121.00060,all,2,block,14.10137764782689,"2,all"
BUMA.1121.00060,all,2,"block, gene",69.81703384883768,"2,all"
BUMA.1121.00061,all,1,block,13.359617311359948,"1,all"
BUMA.1121.00061,all,1,"block, gene",75.70832401683163,"1,all"
BUMA.1121.00061,all,1,gene,8.270488509417591,"1,all"
BUMA.1121.00061,all,2,gene,12.35852173198375,"2,all"
BUMA.1121.00061,all,2,"block, gene",70.43834614213173,"2,all"
BUMA.1121.00061,all,2,block,14.243501999074995,"2,all"
BUMA.1121.00062,all,1,gene,9.176981316826875,"1,all"
BUMA.1121.00062,all,1,block,13.03668011387082,"1,all"
BUMA.1121.00062,all,1,"block, gene",74.89216797379392,"1,all"
BUMA.1121.00062,all,2,gene,13.28802860894138,"2,all"
BUMA.1121.00062,all,2,"block, gene",69.61490467561498,"2,all"
BUMA.1121.00062,all,2,block,13.9957495818562,"2,all"
BUMA.1121.00063,all,1,block,13.415086768723498,"1,all"
BUMA.1121.00063,all,1,"block, gene",75.80636956297175,"1,all"
BUMA.1121.00063,all,1,gene,8.216645911662063,"1,all"
BUMA.1121.00063,all,2,gene,12.437261584385277,"2,all"
BUMA.1121.00063,all,2,"block, gene",70.54529547396952,"2,all"
BUMA.1121.00063,all,2,block,14.120435275409882,"2,all"
BUMA.1121.00064,all,1,block,12.903816792368861,"1,all"
BUMA.1121.00064,all,1,"block, gene",74.45711602882069,"1,all"
BUMA.1121.00064,all,1,gene,9.646400645762421,"1,all"
BUMA.1121.00064,all,2,gene,12.171332404408172,"2,all"
BUMA.1121.00064,all,2,"block, gene",70.58481158008854,"2,all"
BUMA.1121.00064,all,2,block,14.230091581931035,"2,all"
BUMA.1121.00065,all,1,block,12.879076014286477,"1,all"
BUMA.1121.00065,all,1,"block, gene",73.64328474108234,"1,all"
BUMA.1121.00065,all,1,gene,10.467366133597986,"1,all"
BUMA.1121.00065,all,2,gene,12.7757586421826,"2,all"
BUMA.1121.00065,all,2,"block, gene",70.28944202051794,"2,all"
BUMA.1121.00065,all,2,block,13.694499758984188,"2,all"
BUMA.1121.00066,all,1,block,13.407228070557723,"1,all"
BUMA.1121.00066,all,1,"block, gene",76.3109856617854,"1,all"
BUMA.1121.00066,all,1,gene,7.622213869310129,"1,all"
BUMA.1121.00066,all,2,gene,11.983051153271653,"2,all"
BUMA.1121.00066,all,2,"block, gene",70.71980724891517,"2,all"
BUMA.1121.00066,all,2,block,14.31153606736751,"2,all"
BUMA.1121.00067,all,1,block,13.060025342400458,"1,all"
BUMA.1121.00067,all,1,"block, gene",74.15837312116686,"1,all"
BUMA.1121.00067,all,1,gene,9.885621564078935,"1,all"
BUMA.1121.00067,all,2,block,13.859081398129977,"2,all"
BUMA.1121.00067,all,2,"block, gene",70.34398863350171,"2,all"
BUMA.1121.00067,all,2,gene,12.825135547392879,"2,all"
BUMA.1121.00068,all,1,block,13.006634633599607,"1,all"
BUMA.1121.00068,all,1,"block, gene",73.30269448853403,"1,all"
BUMA.1121.00068,all,1,gene,10.602525309389673,"1,all"
BUMA.1121.00068,all,2,gene,12.789919714540588,"2,all"
BUMA.1121.00068,all,2,block,13.778556742428286,"2,all"
BUMA.1121.00068,all,2,"block, gene",70.17864721923598,"2,all"
BUMA.1121.00069,all,1,block,13.515154521347531,"1,all"
BUMA.1121.00069,all,1,"block, gene",76.32326944686757,"1,all"
BUMA.1121.00069,all,1,gene,7.518607979519211,"1,all"
BUMA.1121.00069,all,2,gene,11.715478990611093,"2,all"
BUMA.1121.00069,all,2,"block, gene",70.97690889307331,"2,all"
BUMA.1121.00069,all,2,block,14.410961760240815,"2,all"
BUMA.1121.00070,all,1,block,13.344299715385946,"1,all"
BUMA.1121.00070,all,1,"block, gene",76.18177298808317,"1,all"
BUMA.1121.00070,all,1,gene,7.848112138197235,"1,all"
BUMA.1121.00070,all,2,gene,11.96747423979279,"2,all"
BUMA.1121.00070,all,2,"block, gene",70.5905013500778,"2,all"
BUMA.1121.00070,all,2,block,14.282174488320672,"2,all"
BUMA.1121.00071,all,1,block,13.510459337306429,"1,all"
BUMA.1121.00071,all,1,"block, gene",76.1046146408417,"1,all"
BUMA.1121.00071,all,1,gene,7.734416295474787,"1,all"
BUMA.1121.00071,all,2,gene,12.43877059039256,"2,all"
BUMA.1121.00071,all,2,"block, gene",70.31264826493164,"2,all"
BUMA.1121.00071,all,2,block,14.28946956738056,"2,all"
BUMA.1121.00072,all,1,block,13.468679665043167,"1,all"
BUMA.1121.00072,all,1,"block, gene",76.4417853968386,"1,all"
BUMA.1121.00072,all,1,gene,7.500220913490277,"1,all"
BUMA.1121.00072,all,2,gene,11.917241450550401,"2,all"
BUMA.1121.00072,all,2,"block, gene",70.63771393597649,"2,all"
BUMA.1121.00072,all,2,block,14.539527818012022,"2,all"
BUMA.1121.00073,all,1,block,13.307258318782313,"1,all"
BUMA.1121.00073,all,1,"block, gene",75.60746360649937,"1,all"
BUMA.1121.00073,all,1,gene,8.383818972288875,"1,all"
BUMA.1121.00073,all,2,gene,12.545619984686235,"2,all"
BUMA.1121.00073,all,2,"block, gene",70.20367177777158,"2,all"
BUMA.1121.00073,all,2,block,14.117251894108751,"2,all"
BUMA.1121.00074,all,1,gene,9.632713461980714,"1,all"
BUMA.1121.00074,all,1,"block, gene",74.35419761681857,"1,all"
BUMA.1121.00074,all,1,block,13.180988857682188,"1,all"
BUMA.1121.00074,all,2,block,13.910468495261409,"2,all"
BUMA.1121.00074,all,2,"block, gene",70.87206586485382,"2,all"
BUMA.1121.00074,all,2,gene,12.04895797931034,"2,all"
BUMA.1121.00075,all,1,block,13.42466185382605,"1,all"
BUMA.1121.00075,all,1,"block, gene",74.93938175621638,"1,all"
BUMA.1121.00075,all,1,gene,8.72129645099414,"1,all"
BUMA.1121.00075,all,2,block,14.211305623776354,"2,all"
BUMA.1121.00075,all,2,"block, gene",70.2826072384888,"2,all"
BUMA.1121.00075,all,2,gene,12.370344744552423,"2,all"
BUMA.1121.00076,all,1,gene,8.761129601300887,"1,all"
BUMA.1121.00076,all,1,block,13.044410099669058,"1,all"
BUMA.1121.00076,all,1,"block, gene",75.30127879344583,"1,all"
BUMA.1121.00076,all,2,block,13.646443330120015,"2,all"
BUMA.1121.00076,all,2,"block, gene",69.25870206241443,"2,all"
BUMA.1121.00076,all,2,gene,13.87318331405654,"2,all"
BUMA.1121.00077,all,1,block,13.314712404416845,"1,all"
BUMA.1121.00077,all,1,"block, gene",74.57682031053005,"1,all"
BUMA.1121.00077,all,1,gene,9.174486284585956,"1,all"
BUMA.1121.00077,all,2,block,13.980478019273912,"2,all"
BUMA.1121.00077,all,2,"block, gene",69.91761813782544,"2,all"
BUMA.1121.00077,all,2,gene,12.79677411134707,"2,all"
BUMA.1121.00078,all,1,gene,11.722194620256962,"1,all"
BUMA.1121.00078,all,1,"block, gene",72.10883814927624,"1,all"
BUMA.1121.00078,all,1,block,12.771477329185837,"1,all"
BUMA.1121.00078,all,2,block,13.87308029220058,"2,all"
BUMA.1121.00078,all,2,"block, gene",69.86531701171818,"2,all"
BUMA.1121.00078,all,2,gene,12.841043442043878,"2,all"
BUMA.1121.00079,all,1,block,12.975347817875635,"1,all"
BUMA.1121.00079,all,1,"block, gene",73.41922874140292,"1,all"
BUMA.1121.00079,all,1,gene,10.643192566770015,"1,all"
BUMA.1121.00079,all,2,gene,11.867424847191888,"2,all"
BUMA.1121.00079,all,2,"block, gene",70.36539345579399,"2,all"
BUMA.1121.00079,all,2,block,14.500732598732174,"2,all"
BUMA.1121.00080,all,1,block,13.087098734623833,"1,all"
BUMA.1121.00080,all,1,"block, gene",74.50983274748566,"1,all"
BUMA.1121.00080,all,1,gene,9.53687925042727,"1,all"
BUMA.1121.00080,all,2,gene,13.067532155731318,"2,all"
BUMA.1121.00080,all,2,"block, gene",69.81168933261202,"2,all"
BUMA.1121.00080,all,2,block,14.125552837861639,"2,all"
BUMA.1121.00082,all,1,block,13.188377982114307,"1,all"
BUMA.1121.00082,all,1,"block, gene",74.18610484319464,"1,all"
BUMA.1121.00082,all,1,gene,9.515253493521481,"1,all"
BUMA.1121.00082,all,2,gene,13.251236526166702,"2,all"
BUMA.1121.00082,all,2,"block, gene",69.6876963834249,"2,all"
BUMA.1121.00082,all,2,block,13.861258202799744,"2,all"
BUMA.1121.00083,all,1,block,13.193343947192165,"1,all"
BUMA.1121.00083,all,1,"block, gene",74.17786566212146,"1,all"
BUMA.1121.00083,all,1,gene,9.532249842743255,"1,all"
BUMA.1121.00083,all,2,block,13.87375434129,"2,all"
BUMA.1121.00083,all,2,"block, gene",69.67582933608992,"2,all"
BUMA.1121.00083,all,2,gene,13.246213386615905,"2,all"
BUMA.1121.00084,all,1,gene,11.140359912124344,"1,all"
BUMA.1121.00084,all,1,block,12.782902780588351,"1,all"
BUMA.1121.00084,all,1,"block, gene",72.51384720153843,"1,all"
BUMA.1121.00084,all,2,block,14.245304989834143,"2,all"
BUMA.1121.00084,all,2,"block, gene",70.42827971835439,"2,all"
BUMA.1121.00084,all,2,gene,12.43116557066928,"2,all"
BUMA.1121.00088,all,1,block,12.679411681596658,"1,all"
BUMA.1121.00088,all,1,"block, gene",71.68270279265035,"1,all"
BUMA.1121.00088,all,1,gene,12.234663680909792,"1,all"
BUMA.1121.00088,all,2,gene,12.364286622633838,"2,all"
BUMA.1121.00088,all,2,block,14.05070107653831,"2,all"
BUMA.1121.00088,all,2,"block, gene",70.64970664841297,"2,all"
BUMA.1121.00089,all,1,block,12.949199627424655,"1,all"
BUMA.1121.00089,all,1,"block, gene",74.50493988273655,"1,all"
BUMA.1121.00089,all,1,gene,9.732365038592638,"1,all"
BUMA.1121.00089,all,2,gene,11.797107450543312,"2,all"
BUMA.1121.00089,all,2,"block, gene",70.44024852989267,"2,all"
BUMA.1121.00089,all,2,block,14.497319073759819,"2,all"
BUMA.1121.00090,all,1,block,12.620837470024155,"1,all"
BUMA.1121.00090,all,1,"block, gene",72.88832244934798,"1,all"
BUMA.1121.00090,all,1,gene,10.973294203392232,"1,all"
BUMA.1121.00090,all,2,gene,13.36716130593601,"2,all"
BUMA.1121.00090,all,2,block,13.738087080599751,"2,all"
BUMA.1121.00090,all,2,"block, gene",69.55264689111567,"2,all"
BUMA.1121.00091,all,1,block,13.011114241291846,"1,all"
BUMA.1121.00091,all,1,"block, gene",74.06648851987566,"1,all"
BUMA.1121.00091,all,1,gene,9.738854242788697,"1,all"
BUMA.1121.00091,all,2,gene,12.656395520488362,"2,all"
BUMA.1121.00091,all,2,"block, gene",69.70292324561808,"2,all"
BUMA.1121.00091,all,2,block,14.068863030222342,"2,all"
BUMA.1121.00092,all,1,block,12.866374697385666,"1,all"
BUMA.1121.00092,all,1,"block, gene",72.91378142571057,"1,all"
BUMA.1121.00092,all,1,gene,11.027720792402414,"1,all"
BUMA.1121.00092,all,2,gene,12.365348338046998,"2,all"
BUMA.1121.00092,all,2,"block, gene",70.48930672016573,"2,all"
BUMA.1121.00092,all,2,block,14.077815128138713,"2,all"
BUMA.1121.00093,all,1,block,12.913108479876135,"1,all"
BUMA.1121.00093,all,1,"block, gene",72.87184467253115,"1,all"
BUMA.1121.00093,all,1,gene,10.994534488244238,"1,all"
BUMA.1121.00093,all,2,gene,12.54636055717235,"2,all"
BUMA.1121.00093,all,2,"block, gene",70.20430119149732,"2,all"
BUMA.1121.00093,all,2,block,14.148545806106208,"2,all"
BUMA.1121.00094,all,1,block,13.032135473815757,"1,all"
BUMA.1121.00094,all,1,"block, gene",73.9690142654126,"1,all"
BUMA.1121.00094,all,1,gene,10.046461859318997,"1,all"
BUMA.1121.00094,all,2,gene,12.150443791298216,"2,all"
BUMA.1121.00094,all,2,"block, gene",70.28878464483377,"2,all"
BUMA.1121.00094,all,2,block,14.278035216618612,"2,all"
BUMA.1121.00095,all,1,gene,9.722862626196417,"1,all"
BUMA.1121.00095,all,1,"block, gene",74.36449895585311,"1,all"
BUMA.1121.00095,all,1,block,12.994381096225386,"1,all"
BUMA.1121.00095,all,2,block,13.672506068738722,"2,all"
BUMA.1121.00095,all,2,"block, gene",69.61612757584577,"2,all"
BUMA.1121.00095,all,2,gene,13.404757028898812,"2,all"
BUMA.1121.00096,all,1,gene,10.35431377624396,"1,all"
BUMA.1121.00096,all,1,"block, gene",73.88425867444474,"1,all"
BUMA.1121.00096,all,1,block,12.596703620418761,"1,all"
BUMA.1121.00096,all,2,gene,14.946639011776927,"2,all"
BUMA.1121.00096,all,2,"block, gene",68.2766627214922,"2,all"
BUMA.1121.00096,all,2,block,13.416647010199254,"2,all"
BUMA.1121.00097,all,1,block,13.073499533552852,"1,all"
BUMA.1121.00097,all,1,"block, gene",73.78508032846729,"1,all"
BUMA.1121.00097,all,1,gene,10.135804335561708,"1,all"
BUMA.1121.00097,all,2,block,13.914131936034375,"2,all"
BUMA.1121.00097,all,2,"block, gene",70.64174553899119,"2,all"
BUMA.1121.00097,all,2,gene,12.407160540849361,"2,all"
BUMA.1121.00098,all,1,block,12.428538650028687,"1,all"
BUMA.1121.00098,all,1,"block, gene",71.59236981553698,"1,all"
BUMA.1121.00098,all,1,gene,12.425213632383691,"1,all"
BUMA.1121.00098,all,2,block,13.807574318496926,"2,all"
BUMA.1121.00098,all,2,"block, gene",70.13448368899847,"2,all"
BUMA.1121.00098,all,2,gene,12.934139954740617,"2,all"
BUMA.1121.00099,all,1,block,12.783972448396383,"1,all"
BUMA.1121.00099,all,1,"block, gene",73.83125914516562,"1,all"
BUMA.1121.00099,all,1,gene,10.160387526354828,"1,all"
BUMA.1121.00099,all,2,block,13.860493443653986,"2,all"
BUMA.1121.00099,all,2,"block, gene",68.96351736601535,"2,all"
BUMA.1121.00099,all,2,gene,13.814892063982715,"2,all"
BUMA.1121.00100,all,1,block,12.741768850243613,"1,all"
BUMA.1121.00100,all,1,"block, gene",73.53589779611688,"1,all"
BUMA.1121.00100,all,1,gene,10.50648160695615,"1,all"
BUMA.1121.00100,all,2,gene,13.29116937889194,"2,all"
BUMA.1121.00100,all,2,block,13.995442766566303,"2,all"
BUMA.1121.00100,all,2,"block, gene",69.68860620857097,"2,all"
BUMA.1121.00101,all,1,block,13.561248302837075,"1,all"
BUMA.1121.00101,all,1,"block, gene",75.11902263642408,"1,all"
BUMA.1121.00101,all,1,gene,8.359194261629831,"1,all"
BUMA.1121.00101,all,2,block,14.012974896957084,"2,all"
BUMA.1121.00101,all,2,"block, gene",69.2235099444764,"2,all"
BUMA.1121.00101,all,2,gene,13.534503641090847,"2,all"
BUMA.1121.00102,all,1,block,12.530902618076253,"1,all"
BUMA.1121.00102,all,1,"block, gene",71.5753017985461,"1,all"
BUMA.1121.00102,all,1,gene,12.367880630536458,"1,all"
BUMA.1121.00102,all,2,gene,12.209445025226126,"2,all"
BUMA.1121.00102,all,2,"block, gene",70.06317894641153,"2,all"
BUMA.1121.00102,all,2,block,14.330289062095925,"2,all"
BUMA.1121.00103,all,1,gene,10.696537144394284,"1,all"
