genome,chr/contig,covered,size,coverage
BUMA.1121.00032,1,2910707,3506611,0.8300627015656997
BUMA.1121.00032,2,1386365,1726745,0.8028776686771932
BUMA.1121.00033,1,3270800,4191431,0.7803540127464821
BUMA.1121.00033,2,2572318,3245064,0.7926863692056613
BUMA.1121.00034,1,2969864,3573774,0.8310161750575162
BUMA.1121.00034,2,1722854,2120552,0.8124554361317242
BUMA.1121.00035,1,3279744,4121829,0.7957011317063372
BUMA.1121.00035,2,2613016,3306537,0.7902576018353945
BUMA.1121.00036,1,2869877,3458245,0.8298651483628257
BUMA.1121.00036,2,1849307,2284094,0.8096457501311242
BUMA.1121.00037,1,3243139,4027521,0.8052444667575911
BUMA.1121.00037,2,2576137,3207929,0.8030529977440274
BUMA.1121.00038,1,2913677,3509987,0.8301104818906737
BUMA.1121.00038,2,1812555,2226558,0.8140614347346892
BUMA.1121.00039,1,3240126,4046807,0.8006623493534533
BUMA.1121.00039,2,2535302,3144330,0.8063091342193727
BUMA.1121.00040,1,2951214,3553991,0.8303943369580846
BUMA.1121.00040,2,1815306,2226169,0.8154394387847463
BUMA.1121.00041,1,3296779,4135206,0.7972466184272319
BUMA.1121.00041,2,2592427,3248554,0.7980249058504184
BUMA.1121.00042,1,2908585,3500987,0.8307900029334585
BUMA.1121.00042,2,1737576,2146721,0.8094093270620635
BUMA.1121.00043,1,3327172,4177999,0.796355384479508
BUMA.1121.00043,2,2599576,3269674,0.7950566325572519
BUMA.1121.00044,1,2922434,3517959,0.8307186070104854
BUMA.1121.00044,2,1722795,2120266,0.8125372005210667
BUMA.1121.00045,1,3309481,4019555,0.8233451215370856
BUMA.1121.00045,2,2612736,3258775,0.8017540333407492
BUMA.1121.00046,1,2915156,3509022,0.8307602517168602
BUMA.1121.00046,2,1750734,2152790,0.8132395635431231
BUMA.1121.00047,1,3347888,4091933,0.8181678439016474
BUMA.1121.00047,2,2522395,3130285,0.8058036249095529
BUMA.1121.00048,1,2913645,3510187,0.830054068344507
BUMA.1121.00048,2,1888008,2325354,0.8119228298142992
BUMA.1121.00049,1,3278392,4032972,0.8128972876578364
BUMA.1121.00049,2,2542908,3158067,0.8052102757794563
BUMA.1121.00050,1,2947200,3553303,0.8294254669528605
BUMA.1121.00050,2,1888431,2321527,0.81344347922725
BUMA.1121.00051,1,3260160,3987008,0.8176958762059168
BUMA.1121.00051,2,2519790,3115305,0.8088421518920298
BUMA.1121.00052,1,2905772,3497616,0.8307864556886748
BUMA.1121.00052,2,1404712,1734864,0.8096957456031135
BUMA.1121.00053,1,3291472,4075626,0.8075991271034192
BUMA.1121.00053,2,2574492,3217986,0.8000320697479728
BUMA.1121.00054,1,2935219,3539355,0.8293090125178175
BUMA.1121.00054,2,1887774,2325228,0.8118661911864127
BUMA.1121.00055,1,3336565,4098323,0.814129340220378
BUMA.1121.00055,2,2523293,3157158,0.7992292435158456
BUMA.1121.00056,1,3272052,3984211,0.8212546976051218
BUMA.1121.00056,2,2510396,3102103,0.8092561723450189
BUMA.1121.00057,1,3303330,4007524,0.8242820255100156
BUMA.1121.00057,2,2534156,3139014,0.8073095564403344
BUMA.1121.00058,1,3310523,4058378,0.8157256421161361
BUMA.1121.00058,2,2617016,3214293,0.8141809100788261
BUMA.1121.00059,1,3299438,4003948,0.8240461664337299
BUMA.1121.00059,2,2573671,3176440,0.810237561546889
BUMA.1121.00060,1,3309278,4019503,0.8233052693330494
BUMA.1121.00060,2,2395238,3008316,0.7962055847856409
BUMA.1121.00061,1,3227472,3859639,0.8362108476984506
BUMA.1121.00061,2,2502473,3102688,0.8065499979372724
BUMA.1121.00062,1,3282370,3976798,0.8253801173708094
BUMA.1121.00062,2,2571501,3225565,0.7972249822899244
BUMA.1121.00063,1,3227142,3852886,0.8375908345069125
BUMA.1121.00063,2,2511402,3113526,0.8066102547401243
BUMA.1121.00064,1,3285729,4006427,0.8201145309773521
BUMA.1121.00064,2,2455158,3039355,0.8077891526327132
BUMA.1121.00065,1,3290408,4038504,0.8147591286278285
BUMA.1121.00065,2,2594045,3228004,0.8036065011071858
BUMA.1121.00066,1,3244220,3854943,0.8415740518082887
BUMA.1121.00066,2,2521224,3103695,0.8123298197793275
BUMA.1121.00067,1,3300805,4028032,0.8194584849375576
BUMA.1121.00067,2,2537057,3156596,0.803731931485689
BUMA.1121.00068,1,3342045,4112169,0.8127207320516253
BUMA.1121.00068,2,2523282,3147757,0.8016127039031284
BUMA.1121.00069,1,3242029,3850633,0.8419470253332374
BUMA.1121.00069,2,2504448,3069583,0.8158919305977391
BUMA.1121.00070,1,3229996,3842045,0.8406970766870248
BUMA.1121.00070,2,2514096,3099454,0.8111415752580938
BUMA.1121.00071,1,3240555,3855598,0.8404805169003615
BUMA.1121.00071,2,2514147,3119419,0.8059664315694686
BUMA.1121.00072,1,3245347,3847660,0.8434599210948992
BUMA.1121.00072,2,2513959,3097834,0.811521534078327
BUMA.1121.00073,1,3227829,3866281,0.834866632818463
BUMA.1121.00073,2,2514229,3120072,0.805824032265922
BUMA.1121.00074,1,3123171,3800385,0.8218038435579553
BUMA.1121.00074,2,2718259,3363129,0.8082529691843519
BUMA.1121.00075,1,3263670,3932431,0.8299370033447504
BUMA.1121.00075,2,2529302,3147867,0.8034970981937928
BUMA.1121.00076,1,3263468,3933277,0.8297071373310346
BUMA.1121.00076,2,2529907,3208521,0.7884963196438484
BUMA.1121.00077,1,3311261,4009467,0.8258606443200555
BUMA.1121.00077,2,2616780,3257149,0.8033958532446628
BUMA.1121.00078,1,3330915,4166370,0.7994765227284183
BUMA.1121.00078,2,2637159,3303850,0.7982078484192684
BUMA.1121.00079,1,3306436,4066496,0.813092155998678
BUMA.1121.00079,2,2519751,3112891,0.8094568682295654
BUMA.1121.00080,1,3300943,4013273,0.8225064679128482
BUMA.1121.00080,2,2545183,3173851,0.8019226485427324
BUMA.1121.00081,1,2913655,3510148,0.8300661396613476
BUMA.1121.00081,2,1887916,2325358,0.811881869372372
BUMA.1121.00082,1,3340643,4074542,0.8198818419346272
BUMA.1121.00082,2,2533651,3173005,0.7985020508949718
BUMA.1121.00083,1,3340622,4074547,0.8198756818856182
BUMA.1121.00083,2,2533684,3173067,0.7984968486325691
BUMA.1121.00084,1,3296632,4126292,0.7989332795643158
BUMA.1121.00084,2,2570941,3181762,0.8080242959718545
BUMA.1121.00085,1,2905871,3497434,0.830857994747006
BUMA.1121.00085,2,1404785,1734922,0.8097107535670192
BUMA.1121.00086,1,2895497,3495687,0.8283055662592217
BUMA.1121.00086,2,1903196,2352673,0.8089505001332526
BUMA.1121.00087,1,2885447,3476186,0.8300611647362943
BUMA.1121.00087,2,1902618,2351354,0.8091584678444845
BUMA.1121.00088,1,3277425,4140527,0.7915477908971491
BUMA.1121.00088,2,2574236,3184745,0.8083020775603699
BUMA.1121.00089,1,3273381,3988455,0.8207140358860762
BUMA.1121.00089,2,2511740,3100794,0.8100312371605466
BUMA.1121.00090,1,3322709,4121652,0.8061595205029439
BUMA.1121.00090,2,2593504,3260214,0.7955011542187108
BUMA.1121.00091,1,3294225,4021786,0.8190950488166203
BUMA.1121.00091,2,2593475,3244818,0.7992667077167348
BUMA.1121.00092,1,3293818,4092668,0.8048094788045353
BUMA.1121.00092,2,2533663,3138747,0.807221161820306
BUMA.1121.00093,1,3294029,4092176,0.8049578024014608
BUMA.1121.00093,2,2532914,3145430,0.8052679601835043
BUMA.1121.00094,1,3274860,4001777,0.818351447369506
BUMA.1121.00094,2,2539420,3153284,0.8053254955785778
BUMA.1121.00095,1,3291059,3997043,0.8233734288072457
BUMA.1121.00095,2,2666935,3340053,0.7984708625881086
BUMA.1121.00096,1,3275225,4029411,0.8128297163034498
BUMA.1121.00096,2,2621533,3361895,0.7797783690448393
BUMA.1121.00097,1,3323830,4067975,0.8170723763051642
BUMA.1121.00097,2,2616966,3245118,0.8064316921603467
BUMA.1121.00098,1,3352806,4240564,0.7906509605797719
BUMA.1121.00098,2,2567820,3205965,0.8009507277839901
BUMA.1121.00099,1,3328558,4088898,0.8140476969589361
BUMA.1121.00099,2,2575295,3267421,0.7881736084820413
BUMA.1121.00100,1,3253335,4021787,0.8089277229251574
BUMA.1121.00100,2,2487176,3108026,0.8002429838103028
BUMA.1121.00101,1,3287255,3955091,0.8311452252299631
BUMA.1121.00101,2,2584434,3248948,0.7954679483943726
BUMA.1121.00102,1,3299077,4185307,0.7882520923793643
BUMA.1121.00102,2,2567646,3190204,0.8048532319563263
BUMA.1121.00103,1,3295836,4059501,0.8118820515132279
BUMA.1121.00103,2,2681733,3390988,0.7908411943657718
BUMA.1121.00104,1,3262749,3925545,0.8311582213425143
BUMA.1121.00104,2,2538928,3146548,0.8068931413091426
BUMA.1121.00105,1,3274861,4017692,0.8151100183886669
BUMA.1121.00105,2,2567793,3200711,0.802257061009257
BUMA.1121.00106,1,3288843,3983995,0.8255138372412616
BUMA.1121.00106,2,2577242,3194042,0.8068904541643472
BUMA.1121.00107,1,3318318,4110442,0.8072898243059992
BUMA.1121.00107,2,2561817,3227179,0.7938255051857985
BUMA.1121.00108,1,3303420,4031107,0.8194820926360923
BUMA.1121.00108,2,2584417,3194326,0.8090648856754132
BUMA.1121.00109,1,3241916,3969298,0.816747948881641
BUMA.1121.00109,2,2659738,3327069,0.7994237570666554
BUMA.1121.00110,1,3310195,4008750,0.8257424384159651
BUMA.1121.00110,2,2616352,3255964,0.803556796082512
BUMA.1121.00111,1,3264533,4032598,0.809535936882377
BUMA.1121.00111,2,2555661,3212183,0.7956150069905731
BUMA.1121.00112,1,3394554,4228716,0.8027387036632396
BUMA.1121.00112,2,2575972,3267160,0.7884437860404755
